Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,"Total W",Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
OPRE,3333,0W1,16,6,9,5,5,2,4,1,1,,,,1,0,"Alimirzaei, Athena","Sanghi, Ruchira","Gorantla, Pavan Sai Krishna C",,,
OPRE,3360,0W1,5,5,5,3,7,9,4,3,2,1,,,3,3,"Brussolo, Monica E","Adlakha, Satyak",,,,
OPRE,6302,0W1,,16,2,8,13,3,3,3,,,,,2,0,"Leach, Sonia E","Prabhakaran, Athishta J",,,,
OB,6301,001,,28,,,16,,,4,,,,,1,0,"Hasenhuttl, Maria",,,,,
OB,6301,0W1,,37,,,11,,,1,,,,,,1,"Hasenhuttl, Maria","Liao, Xin",,,,
HLTH,4305,001,29,8,7,2,1,1,1,,,,,,,0,"Aubrey, Lea E",,,,,
PSY,3332,001,,22,5,3,13,3,,4,,,,,,1,"Baerwaldt, Natalie R","Helfers, Samantha",,,,
CS,3340,502,3,7,4,4,9,7,5,3,3,2,,1,3,0,"Mazidi, Karen J",,,,,
CS,3345,002,1,11,9,7,4,6,6,2,2,,,,1,2,"Ozbirn, Greg A",,,,,
CS,3377,0W1,4,6,4,4,5,4,4,7,2,2,1,,3,5,"Min, Richard K",,,,,
EPPS,2302,002,3,7,5,4,8,5,6,2,1,3,,,4,3,"Stanaland, Leslie",,,,,
ACCT,2301,HON,11,11,8,11,4,3,,3,,,,,,0,"Files, Rebecca L","Wilson, Ravin M",,,,
FIN,3360,001,,6,7,10,6,7,7,6,2,,,,,0,"Murray, Jennifer R",,,,,
HMGT,3301,501,8,15,2,10,1,7,1,6,1,,,,,0,"Berrett, Britt R","Mohod, Vaishnavi A",,,,
MIS,6309,002,,9,20,13,9,,,,,,,,,0,"Islam, Naser","Muthukrishnan, Bharathi",,,,
MIS,6309,003,,18,20,11,2,,,,,,,,,0,"Lahiri, Atanu","Muthukrishnan, Bharathi",,,,
MKT,3300,006,3,5,4,4,12,5,1,9,2,,2,,2,2,"Haruvy, Ernan E","Kasaian, Keyvan","Howie, Jake",,,
CS,3354,004,,19,10,7,13,2,,1,,,,,,0,"Cankaya, Ebru C","Maweu, Barbara M",,,,
MECH,4340,001,1,10,8,9,9,6,,3,4,,1,,,1,"Park, Wooram","Wu, Zhongyou",,,,
BUAN,6312,003,,9,12,10,14,3,1,1,,,,,1,1,"Blueshtein, Moran","Smith, Jake A","Chen, Chuang",,,
BUAN,6312,501,,22,10,9,11,,,,,,,,,0,"Zentner, Alejandro","Huang, Zhuowei",,,,
BUAN,6341,001,,10,19,16,7,,,,,,,,,0,"Sohaee, Nassim","Patil, Suhas",,,,
ITSS,4300,001,,14,9,3,5,3,6,5,,1,3,1,2,0,"Owens, Dawn M","Grover, Pranjal",,,,
OPRE,6301,0W1,,11,9,11,6,10,3,,,,,,,2,"Leach, Sonia E","Prabhakaran, Athishta J",,,,
BUAN,6320,002,,12,27,8,3,1,,1,,,,,,0,"Pandian, Thiru","Kaamra, Sanchita",,,,
CS,4337,502,1,9,7,7,9,5,4,5,4,,,,,1,"Davis, Chris I","Shahbazi, Nima",,,,
ITSS,4330,501,17,23,5,3,1,,1,,,,,,1,1,"Khan, Taimur A","Kapadia, Hemanshu M",,,,
CS,3345,001,4,14,9,8,9,3,,3,3,,,,,0,"Chida, Anjum",,,,,
CS,4348,003,1,3,7,5,8,10,8,5,4,1,,,1,0,"Salazar, Elmer E","Haque, Mirazul",,,,
EE,1202,001,6,8,4,3,10,2,4,3,,2,3,1,3,4,"Cogan, Diana L",,,,,
MECH,2310,001,,8,3,8,9,3,9,5,2,2,3,,,1,"Thamban, P.L.Stephan","Gleason, Glenn H",,,,
MECH,3310,001,1,3,7,4,9,9,6,10,2,,1,,,1,"Anderson, William C","Wang, Chao",,,,
HLTH,1322,0W2,,9,12,9,8,2,1,1,3,,3,,3,2,"Day, Lora N",,,,,
FIN,6352,501,,14,11,10,12,3,1,,,,,,,2,"Springate, David J","Chen, Xi",,,,
OPRE,3310,0W1,3,11,,5,15,,3,13,,,,,2,1,"Deluke, Eugene","Celik, Beyza",,,,
OPRE,6301,502,,19,12,6,5,3,2,4,,,,,1,1,"Toptal, Aysegul","Zhang, Minmin",,,,
PHYS,2303,001,9,8,5,3,5,6,1,3,2,1,2,,4,4,"Khan, Amena",,,,,
OPRE,3360,010,3,7,4,8,4,3,5,1,2,5,2,3,4,0,"Best, Robert E","Epari, Sameera",,,,
CE,2310,001,24,7,2,1,2,2,2,3,1,3,1,1,4,1,"Dodge, Nathan B","Chen, Pengyuan","Gao, Tianning","Kiwan, Doaa M",,
CS,3345,003,4,8,11,6,10,1,2,3,3,,1,,2,3,"Chida, Anjum",,,,,
CS,3345,501,7,18,12,6,1,2,5,3,,,,,,0,"Khan, Ziaullah",,,,,
CS,3345,502,7,11,3,16,5,,1,2,,,,,4,5,"Khan, Ziaullah",,,,,
ECS,1100,028,27,3,4,,4,2,3,2,,1,,1,7,0,"Stewart, Mary A",,,,,
EE,3310,002,7,14,5,3,8,6,3,2,3,1,1,,1,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,
MECH,4310,002,4,3,6,9,6,5,2,4,9,,1,,4,1,"Ruths, Justin","Zhang, Yujie",,,,
SE,4367,001,1,5,8,3,6,4,5,9,1,3,3,1,3,2,"Paulk, Mark C","Yan, Siwen",,,,
SE,4485,001,,47,3,4,,,,,,,,,,0,"Wong, Weichen E",,,,,
ACCT,6301,0W1,,12,17,7,7,5,1,2,,,,,1,2,"Ali, Ashiq","Nathan, Brad",,,,
ACCT,6301,MBC,,26,1,5,15,2,,3,,,,,,2,"Radhakrishnan, Suresh","Parupati, Sunil K",,,,
ACCT,6331,501,,9,13,7,11,6,2,1,,,,,1,4,"Janakiraman, Surya","Zhang, Yang",,,,
FIN,6301,MBC,,17,4,3,22,1,2,3,,,,,,2,"Reichert, Carolyn A",,,,,
HMGT,3301,003,6,21,3,13,2,5,,3,1,,,,,0,"Berrett, Britt R","Mohod, Vaishnavi A",,,,
IMS,3310,001,,8,,1,19,1,1,10,1,1,4,,7,1,"Henderson, Tom",,,,,
IMS,3310,002,,11,3,6,18,,1,5,,3,,1,6,0,"Henderson, Tom",,,,,
IMS,3310,007,4,7,9,6,6,10,4,4,1,1,,,2,0,"Olsztynska, Agnieszka","Shah, Aditya A",,,,
IMS,3310,502,31,11,1,5,2,2,1,,,,,,,1,"Carraher, Shawn M",,,,,
MECO,6303,MBC,,26,15,6,3,2,,,,,,,,2,"Siegenthaler, Simon","Chen, Xi",,,,
MIS,6344,501,,45,9,,,,,,,,,,,0,"Beauchamp, Joe P","Kalita, Sneha D",,,,
MIS,6373,501,,25,28,1,,,,,,,,,,0,"Ginevich, Rostislav","Kalita, Sneha D",,,,
MKT,3300,002,,12,,13,13,2,5,4,,1,,,1,3,"Rajaratnam, Daniel",,,,,
MKT,3300,003,,15,3,12,11,2,3,4,,1,1,,1,1,"Rajaratnam, Daniel",,,,,
MKT,3300,005,,7,17,16,8,2,1,2,,,,,1,0,"Meda, Edward","Mostafa, Ahmed H",,,,
MKT,6301,MBC,,21,11,10,7,2,,1,,,,,,2,"Biswas, Abhijit","Iyer, Smruti Viswanath","Shetty, Reema R","Kulkarni, Chinmayi S",,
OB,6301,502,,30,16,5,2,,,1,,,,,,0,"Hicks, Jeffrey N","Leete, Ashley",,,,
OPRE,6301,MBC,,17,,9,11,,7,6,,,,,2,2,"Wang, Shouqiang","Sul, Inki",,,,
IMS,3310,005,6,10,3,12,13,5,3,,,,,,,1,"Yeo, Yundong",,,,,
OPRE,3310,502,,13,,4,22,,3,10,,,1,,1,0,"Hogan, James W","Celik, Beyza",,,,
BMEN,2320,001,18,9,11,6,2,2,4,1,,1,1,,,0,"Taha, Abraham M","Vargas, Jose A",,,,
CS,3340,006,,9,,,26,,,10,,,6,,,4,"Goodrum, Richard A",,,,,
ENGR,3341,501,1,19,1,1,17,1,1,10,1,,1,,,2,"Ali, Mohammed Z","Dai, Yucheng","Mitra, Arkadeep","Upadhyay, Bhaskar R","Mohamed, Ahmed M",
CRIM,2316,001,28,10,7,,1,2,,3,,,1,,2,1,"Polk, Elmer O","Derlic, Dragana",,,,
ACCT,6305,502,,14,8,16,6,5,5,,,,,,,1,"Li, Ningzhong","Song, Dongye",,,,
BUAN,6341,002,,16,20,13,5,,,1,,,,,,0,"Sohaee, Nassim","Patil, Suhas",,,,
HMGT,3301,001,3,19,14,13,3,1,,1,,1,,,,0,"Thurgood, Keith L","Deng, Shu",,,,
HMGT,3301,002,5,13,16,7,5,5,2,,1,1,,,,0,"Thurgood, Keith L","Deng, Shu",,,,
MKT,3300,014,25,10,7,4,3,2,1,,1,1,,,,1,"Kulkarni, Madhura",,,,,
MKT,3300,017,,11,6,14,7,9,4,,2,,1,,,1,"Xie, Ying",,,,,
OPRE,3310,006,9,10,5,4,11,4,3,8,,,,,,1,"Parks, David","Wijewardana, Galuge Hansani M","Adlakha, Satyak","Kuo, Ching-Chung",,
OPRE,3310,501,5,15,6,22,3,1,,2,,,,,1,0,"Hosseinabadi Farahani, Mehdi",,,,,
OPRE,6332,001,,26,9,12,2,5,,1,,,,,,0,"Ramanathan, Kannan","Ramakrishnan, Jaishree","Li, Changpei",,,
MIS,6382,002,,13,15,10,10,5,,2,,,,,,0,"Mookerjee, Radha","Satheesh, Aparna",,,,
CS,3340,501,6,18,7,7,2,7,1,2,,,,,6,0,"Nguyen, Nhut",,,,,
CS,3377,0W5,6,16,,14,8,1,2,4,1,,,,4,0,"Satpute, Meghana N",,,,,
ECS,1100,004,21,7,6,5,4,4,2,2,2,1,,,2,0,"Sharman, Whitney",,,,,
CRIM,3309,0W1,,17,6,3,8,3,1,6,6,,1,,4,1,"Gammell, Sarah P",,,,,
BUAN,6312,002,,27,8,10,10,1,,,,,,,,0,"Zentner, Alejandro","Huang, Zhuowei",,,,
ENTP,3301,003,,3,19,13,9,6,3,1,1,,,,1,0,"Nichols, Paul M",,,,,
HMGT,3310,001,1,8,21,6,9,7,2,1,,,,,,1,"Tesmer, Kristin M",,,,,
HMGT,4321,001,2,16,4,13,8,11,2,,,,,,,0,"Ayvaci, Mehmet U","Zhu, Wangsheng",,,,
IMS,3310,003,,12,15,10,10,3,1,2,1,,,,2,0,"Woldu, Habte G","Pradeep, Poojitha",,,,
IMS,3310,006,7,6,7,7,,9,7,6,4,,,,1,2,"Olsztynska, Agnieszka","Shah, Aditya A",,,,
IMS,3310,009,,13,9,11,16,4,2,1,,,,,,0,"Zydorek, Hubert","Campos de Castro Ferreira, Leticia",,,,
IMS,3310,010,,4,13,6,19,10,3,1,,,,,,0,"Woldu, Habte G","Pradeep, Poojitha",,,,
IMS,3310,014,3,8,6,2,9,7,4,5,10,1,,,1,0,"Olsztynska, Agnieszka","Shah, Aditya A",,,,
ITSS,4353,501,17,13,6,11,4,2,1,,,,,,1,1,"Rao, Mukund","Mehta, Utsav K",,,,
MIS,6313,MBP,,34,16,5,,,,,,,,,,1,"Mookerjee, Vijay",,,,,
MIS,6380,001,,13,15,10,11,2,1,2,,,,,2,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,
MIS,6380,002,,12,14,21,8,,,,,,,,,1,"Islam, Naser","Sultana, Yasmin",,,,
MKT,3300,001,7,26,7,4,9,1,,2,,,,,,0,"Bigham, Ernest P",,,,,
MKT,3300,004,7,28,16,2,,2,,,,,,1,,0,"Egeland, Rita E",,,,,
MKT,3300,007,2,17,15,6,9,4,,3,,,,,,0,"Pahwa, Parneet","Karavasili, Pavlina","Alavi, Seyyedeh Soogand",,,
MKT,3300,008,3,19,15,9,7,1,,1,,,,,1,0,"Pahwa, Parneet","Karavasili, Pavlina","Alavi, Seyyedeh Soogand",,,
MKT,3300,013,2,19,7,13,7,1,3,3,,1,,,,0,"Pacyna, Sandra",,,,,
MKT,3300,015,2,15,5,4,11,4,5,4,1,3,2,,,0,"Wu, Fang","Kasaian, Keyvan",,,,
OPRE,3310,001,8,15,,22,6,3,,,,,1,,1,0,"Kim, Joohyun",,,,,
OPRE,3310,003,17,21,,8,5,,5,,,,,,,0,"Widdifield, David S","Godavarthi, Sasank",,,,
OPRE,3310,005,,7,10,14,8,11,3,,1,,1,,1,0,"Janke, Scott M","Rajkotwala, Mustafa S",,,,
ITSS,3311,004,20,5,10,7,5,5,1,,2,,,,1,0,"Tunc, Murat M",,,,,
PSY,2317,002,,2,1,3,6,8,5,7,10,1,4,4,5,1,"Juhn, Nancy H","Carson, Kevin J","Zhang, Ziwei",,,
BMEN,4310,001,,20,23,9,2,,,,,,,,3,0,"Bleris, Leonidas","Quarton, Tyler G",,,,
BMEN,4360,001,4,12,13,7,5,5,3,3,1,1,,1,2,0,"Rodrigues, Danieli B","Lakkasetter Chandrashekar, Bhuvana",,,,
CS,2336,005,1,16,8,7,12,5,3,2,1,,,,1,1,"Feng, Ranran",,,,,
CS,3377,0W4,3,10,,6,22,,2,4,,1,1,,6,2,"Belkoura, Mohamed Amine",,,,,
CS,4384,502,5,9,7,7,13,2,2,4,1,,,1,3,3,"Stallbohm, Zachary E",,,,,
CS,6363,004,,21,10,22,3,,1,,,,,,,0,"Bereg, Sergey","Guo, Jianxiong",,,,
ECS,1100,025,1,25,5,6,9,7,,,2,,,,2,0,"Ntafos, Simeon","Lloyd, Melody",,,,
SOC,3342,0W1,8,29,2,5,9,2,2,,,,,,,0,"Malek-Ahmadi, John H","Wilds, Katherine M",,,,
ACCT,3331,003,4,8,6,4,6,6,2,8,1,2,2,1,6,1,"Zhou, Yibin","Ajayi, Olamiposi O",,,,
ACCT,6305,001,,14,9,17,6,6,5,,,,,,,0,"Li, Ningzhong","Song, Dongye",,,,
BUAN,6398,501,,21,4,6,13,4,1,8,,,,,,0,"Alimirzaei, Athena","Gorantla, Pavan Sai Krishna C",,,,
ITSS,3300,503,,21,13,5,7,1,1,,1,1,,,3,4,"Khan, Masudal H","Xie, Si",,,,
MIS,6308,002,,25,9,12,11,,,,,,,,,0,"Raghunathan, Srinivasan","Srivastava, Smriti",,,,
OPRE,6301,009,,17,11,10,9,6,3,1,,,,,,0,"Toptal, Aysegul","Zhang, Minmin",,,,
BUAN,6312,001,,10,9,14,9,8,4,2,,,,,1,0,"Blueshtein, Moran","Smith, Jake A","Chen, Chuang",,,
MKT,3320,001,1,9,18,8,6,4,2,1,1,,1,1,4,0,"Haworth, Julie B",,,,,
NSC,4363,002,,32,,,18,,,5,,,1,,2,0,"Raboune, Siham",,,,,
BMEN,3402,001,14,8,8,7,6,1,2,2,3,1,,1,3,2,"Ardestani Khoubrouy, Soudeh","Lloyd, David A",,,,
CS,3340,001,5,12,11,5,3,7,5,4,3,,,,2,1,"Nguyen, Nhut",,,,,
CS,4337,004,,2,10,10,14,10,6,2,,2,,1,1,0,"Salazar, Elmer E",,,,,
CS,4348,001,,5,4,6,6,7,9,6,7,,2,2,4,0,"Ozbirn, Greg A","Mai, Kelvin K",,,,
CS,5348,002,,25,14,5,7,2,2,1,,,,,1,1,"Alagar, Sridhar","Li, Fang",,,,
CS,6301,501,,9,36,13,,,,,,,,,,0,"Culver, Timothy L","Gu, Shuyang",,,,
CS,6313,501,,32,15,5,2,2,1,,,,,,,1,"Zhou, Yan","Khargonkar, Ninad Arun",,,,
CRIM,3324,0W1,2,14,12,6,7,1,,4,2,1,4,2,3,0,"Gammell, Sarah P",,,,,
ECON,3330,001,3,23,5,2,17,1,,1,1,,1,,3,1,"Ketsler, Luba","Colunga Ramos, Luis Fernando",,,,
SOC,4372,0W1,,45,,,8,,,2,,,,,2,1,"Cheun, Jacquelyn J",,,,,
ACCT,2302,002,4,10,,10,8,,9,5,5,,2,,4,1,"Zolton, Kathy","Thompson, Colby S",,,,
ACCT,2302,003,4,8,7,9,4,4,3,8,3,2,,,1,5,"Copat, Rafael","Thompson, Colby S",,,,
ACCT,4340,001,11,17,8,9,3,5,1,2,,1,1,,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,
ACCT,6305,501,,15,8,17,6,6,6,,,,,,,0,"Li, Ningzhong","Song, Dongye",,,,
ENTP,3301,002,1,,7,5,17,14,6,5,,1,,,1,1,"Kimzey, Jackie",,,,,
FIN,6301,002,,21,4,8,10,8,3,,,,,,2,2,"Xiao, Steven","Rupp, Anin D",,,,
ITSS,3300,010,,17,,12,7,12,,3,1,1,1,,3,1,"Bose, Ranavir","Bhadane, Mayuri S",,,,
ITSS,3311,002,4,10,8,2,5,9,2,,2,2,2,3,7,2,"Narayanasami, Priya","Tran, Quan T",,,,
ITSS,3311,003,8,22,15,5,8,,,,,,,,,0,"Zhang, Chenglong",,,,,
MIS,6360,001,,19,17,11,5,4,2,,,,,,,0,"Thouin, Mark","Bhadane, Mayuri S",,,,
MIS,6382,001,,13,24,8,7,3,1,1,,,,,,1,"Mookerjee, Radha","Satheesh, Aparna",,,,
OPRE,3333,004,9,18,6,5,6,5,2,4,,,,,1,2,"Woldu, Malgorzata","Wang, Ming",,,,
OPRE,6302,003,,12,18,26,2,,,,,,,,,0,"Janakiraman, Ganesh","Mobini Dehkordi, Zahra",,,,
MATH,2418,004,9,6,5,5,3,7,3,2,7,,3,,6,2,"Arnold, Maxim",,,,,
MATH,2418,502,8,4,5,2,8,3,3,1,7,2,2,1,8,4,"Makhijani, Neha",,,,,
CS,4395,001,1,4,6,9,11,7,3,2,5,2,2,,2,4,"Mazidi, Karen J","Hu, Yibo",,,,
FIN,6301,501,,15,1,11,16,4,6,,,,,,,5,"Xiao, Steven","Rupp, Anin D",,,,
ITSS,3300,002,,21,11,16,6,2,2,,,,,,,0,"Varma, Rashmi","Tang, Ping",,,,
CS,3305,004,1,17,5,9,21,5,1,,,,,,,0,"Satpute, Meghana N",,,,,
CS,3377,0W2,2,30,8,4,8,1,4,,,,,,,2,"Kapoor, Bhanu",,,,,
CS,4390,002,,22,12,10,9,4,,2,,,,,,0,"Farago, Andras","Gour, Riti",,,,
CS,6315,501,,53,,,6,,,,,,,,,0,"Ates, Keven L","Lee, Yi-Hui",,,,
CS,6363,003,,3,13,20,11,7,1,3,,,,,,1,"Raichel, Benjamin A","Huang, Hongyao",,,,
ECS,1100,017,14,16,7,4,2,4,1,2,3,,,1,5,0,"Wright, Emelia M",,,,,
ENGR,3300,001,1,10,,4,12,,1,13,4,,8,,2,4,"Lee, Jung S","Zhang, Tianliang","Akbarzadeh, Sara",,,
ACCT,3341,002,3,6,3,6,8,2,2,4,2,3,1,2,4,13,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,
ACCT,4334,001,,17,,,23,,,8,,,5,,4,2,"Linsteadt, Chris C","Sauer, Ashlyn M",,,,
ACCT,4342,001,2,7,5,11,9,7,8,6,2,,,,2,0,"Johnson, Jennifer","Lietha, Cassidy R",,,,
ACCT,6333,501,,20,3,,23,,1,8,,,,,2,2,"Zolton, Kathy","Gu, Dongdi",,,,
ITSS,3300,001,,17,18,9,9,3,2,,,1,,,,0,"Varma, Rashmi","Tang, Ping",,,,
ITSS,3300,004,5,25,6,5,6,4,2,3,,,1,,2,0,"Stephens, Timothy G","Zhang, Hong",,,,
ITSS,3300,007,1,32,11,6,5,2,,1,1,,,,,0,"Stephens, Timothy G","Zhang, Hong",,,,
ITSS,3300,502,,27,18,8,1,2,,2,1,,,,,0,"Hansen, Atanas Y","Zhu, Wangsheng",,,,
OBHR,3330,002,,11,14,11,10,6,3,1,,,,,3,0,"Meda, Edward","Shah, Nikhil",,,,
OBHR,3330,006,4,17,14,4,11,3,2,3,,,,,,1,"Ritchey, David B",,,,,
OBHR,3330,501,1,4,15,10,3,17,6,1,2,,,,,0,"Meda, Edward","Shah, Nikhil",,,,
OPRE,3360,004,15,7,4,3,3,5,4,5,3,3,2,2,3,0,"Farajbakhsh Mamaghani, Fariba",,,,,
OPRE,3360,006,15,3,5,2,4,8,4,2,10,2,,1,1,2,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,
OPRE,3360,009,13,14,2,13,9,5,2,,1,,,,,0,"Kucukgul, Can",,,,,
OPRE,6302,001,,22,14,5,13,1,3,1,,,,,,0,"Honhon, Dorothee B","Stalvey, Shelly",,,,
OPRE,6302,002,,20,8,13,8,2,6,1,,,,,,1,"Honhon, Dorothee B","Stalvey, Shelly",,,,
CHEM,3361,001,4,7,5,6,1,9,2,6,2,,3,2,7,5,"Marsh, Robert","Spiro, Stephen","Krishnamohan, Aishwarya","Dey, Sanchareeka","Upreti, Chahat","Villones, Rhiza Lyne"
MATH,2415,001,2,7,5,4,8,4,3,13,1,,4,,6,2,"Zweck, John W",,,,,
MATH,2418,006,13,10,6,5,5,2,2,2,3,5,,1,4,1,"Makhijani, Neha",,,,,
MATH,2418,007,17,10,4,5,8,2,6,3,1,,,1,1,1,"Dahal, Rabin",,,,,
ACCT,6301,501,,34,13,7,1,,,1,,,,,,3,"Kromer, Jeffrey","Ajayi, Olamiposi O",,,,
ACCT,6335,0W1,,6,13,10,20,5,1,3,,,,,,0,"Bortz, Tiffany A","Lietha, Cassidy R",,,,
MIS,6308,001,,12,20,20,5,,,,,,,,,1,"Raghunathan, Srinivasan","Srivastava, Smriti",,,,
EE,4301,001,3,15,3,3,10,4,5,9,5,,,1,,1,"Heins, Matthew S","Abbas, Farhat","Gandluru, Veerabharathchandrareddy",,,
MECH,3380,001,7,8,7,10,13,5,2,2,,1,,1,,3,"Malik, Arif","Yu, Haoliang",,,,
ACCT,3332,501,,5,3,3,2,5,5,3,5,3,7,10,3,5,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,
OPRE,6332,002,,24,6,19,6,1,1,,,,,,1,1,"Sethi, Awanti","Venugopal, Diya",,,,
PSY,2317,001,,7,5,3,7,3,4,5,2,7,3,2,6,6,"Juhn, Nancy H","Zhang, Ziwei","Carson, Kevin J",,,
CS,1335,001,3,21,2,4,19,3,3,2,1,,,,2,0,"Doore, Karen L",,,,,
CS,3340,004,,2,11,9,7,11,6,8,1,3,1,1,,0,"Mazidi, Karen J",,,,,
CS,3360,001,2,3,12,11,16,10,2,,,,2,1,,1,"Feng, Ranran","Zhang, Chenxu","Yu, Linlin",,,
CS,4361,001,3,19,3,6,13,6,2,4,,,1,,2,1,"Kumar, Pushpa S","Zhang, Chenxu",,,,
CS,4390,502,6,10,8,8,13,14,,1,,,,,,0,"Hao, Shuang","Li, Shuo",,,,
CS,6360,501,,33,12,8,6,1,,,,,,,,0,"Davis, Chris I","Kong, Zelun",,,,
CS,6363,005,,12,13,19,10,4,,,,,,,2,0,"Huynh, Dung T","Guo, Jianxiong","Adebiyi, Abdulmateen A",,,
CS,6375,002,,36,17,4,,1,,1,,,,,,1,"Chida, Anjum","Li, Changbin",,,,
ECS,1100,002,35,11,6,4,1,2,,,,,,,1,0,"Wright, Emelia M",,,,,
ECS,1100,005,36,2,12,3,2,1,1,1,1,1,,,,0,"Aronson, Cara",,,,,
ECS,1100,006,32,5,7,3,2,3,2,1,3,1,,,1,0,"Tornakian, Marissa A",,,,,
ECS,1100,011,35,6,4,3,4,2,2,2,1,,,1,,0,"Favors, Crystal N",,,,,
ECS,1100,014,32,3,6,1,3,3,1,3,2,1,,1,4,0,"Tornakian, Marissa A",,,,,
ENGR,2300,502,5,4,3,2,8,4,6,2,4,1,3,3,9,6,"Khoobroo, Amir","Sheikhlari, Sepehr","Neethirajan, Deepika",,,
MECH,3351,001,,15,13,13,13,4,,1,,,,,1,0,"Qian, Dong","Wang, Yang","Yi, Lu",,,
PSCI,3350,001,5,1,5,10,14,4,4,2,2,2,1,1,2,7,"Stewart, Marianne","Eaton, John M",,,,
SOC,1301,0W1,7,17,6,9,4,3,1,,3,2,2,,5,1,"Davis, Garrett R","Malek-Ahmadi, John H",,,,
ACCT,2302,001,,19,4,4,14,1,9,4,1,,1,,3,0,"Barden, John P","Thompson, Colby S",,,,
ACCT,2302,004,,8,10,8,4,6,7,2,4,,5,,6,0,"Kale, Devendra",,,,,
ACCT,2302,005,8,4,5,2,9,7,7,4,4,,2,1,1,6,"Copat, Rafael","Thompson, Colby S",,,,
ACCT,3331,001,,17,7,,9,3,,13,,,5,,5,1,"Zhang, Yuan","Hoang, Quynh M",,,,
ACCT,3331,002,,15,2,,17,8,,7,,,5,,6,0,"Zhang, Yuan","Hoang, Quynh M",,,,
ACCT,3332,001,2,8,5,4,7,5,4,3,2,4,2,5,1,8,"Bortz, Tiffany A","Pardiwalla, Arish K",,,,
BCOM,3310,HON,1,47,5,5,2,,,,,,,,,0,"Lawson, Kristen A","Kumar, Anil",,,,
ENTP,3301,001,4,4,21,9,16,4,1,,1,,,,,0,"Nichols, Paul M",,,,,
ITSS,3300,005,3,30,6,5,12,1,2,1,,,,,,0,"Stephens, Timothy G","Zhang, Hong",,,,
ITSS,3300,008,2,14,5,8,9,6,4,4,4,,2,,2,0,"Short, Kevin P","Luo, Ning",,,,
ITSS,3300,011,1,16,21,10,4,3,,1,,,1,,2,1,"Haseman, Charles","Sun, Kai",,,,
ITSS,3300,012,4,16,22,11,2,,1,2,,,,,2,0,"Haseman, Charles","Sun, Kai",,,,
ITSS,3300,014,,13,5,6,9,5,7,6,5,,3,,1,0,"Short, Kevin P","Luo, Ning",,,,
ITSS,3300,501,8,7,4,11,7,7,3,5,2,1,1,1,3,0,"Young, John G",,,,,
MIS,6326,501,,10,20,17,13,,,,,,,,,0,"Mishra, Vivek","Natarajan, Bharath Kumar",,,,
OBHR,3330,001,4,11,17,9,9,4,2,,2,,,1,1,0,"Ritchey, David B",,,,,
OBHR,3330,003,3,6,10,10,16,6,3,4,,,1,,1,0,"Weekley, Jeff A","Neumannova, Anita",,,,
OBHR,3330,004,1,8,15,10,10,6,5,1,2,,,,1,1,"Meda, Edward","Shah, Nikhil",,,,
OBHR,3330,005,,10,19,9,13,3,,4,1,,,,1,0,"Meda, Edward","Shah, Nikhil",,,,
OPRE,3310,009,,15,,6,21,,5,12,,,,,,1,"Hogan, James W","Celik, Beyza",,,,
OPRE,3310,010,36,16,,4,1,,2,1,,,,,,0,"Widdifield, David S","Zhang, Wen",,,,
OPRE,3360,001,6,15,13,1,8,7,1,3,1,1,1,1,2,0,"Oguzman, Neslihan","Birajdar, Namrata O",,,,
OPRE,3360,002,11,4,2,6,6,6,5,1,10,1,,1,6,1,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,
OPRE,3360,003,9,5,10,5,9,7,2,2,5,,4,,,2,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,
OPRE,3360,005,17,5,4,5,6,9,5,4,4,,,,1,0,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,
OPRE,3360,007,8,7,4,4,9,12,6,4,1,2,,,1,2,"Naseri Taheri, Mohammad","Dai, Zicong",,,,
OPRE,3360,008,5,20,,3,25,1,2,2,,,,,1,1,"Qi, Anyan","Dai, Zicong",,,,
OPRE,3360,011,3,7,2,6,7,5,3,7,3,6,4,3,3,1,"Best, Robert E","Epari, Sameera",,,,
OPRE,3360,012,7,9,6,8,7,6,,7,4,,,,2,4,"Naseri Taheri, Mohammad","Dai, Zicong",,,,
OPRE,3360,501,1,22,,3,26,1,3,2,,,1,,1,0,"Qi, Anyan","Dai, Zicong",,,,
OPRE,6371,001,,17,6,20,12,5,,,,,,,,0,"Hu, Bin","Birajdar, Namrata O",,,,
ISNS,2368,001,2,9,11,9,13,3,1,2,1,3,2,,2,2,"McCauley, Steven","Timms, Christopher I",,,,
MATH,2418,001,12,11,3,4,4,5,2,1,2,4,2,1,6,3,"Patel, Jigarkumar S",,,,,
MATH,2418,002,10,8,5,6,3,4,5,4,4,2,,2,5,2,"Pereira, Luis Felipe F",,,,,
