Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
MKT,6301,0W2,,13,11,14,4,5,,2,,,,,,0,,,,,"Biswas, Abhijit","Kulkarni, Chinmayi S","Kumar, Sumeet",,,
MKT,6310,0W1,,20,5,15,6,2,1,,,,,,,0,,,,,"Biswas, Abhijit","Kumar, Sumeet",,,,
DANC,1310,001,10,32,4,1,2,,,,,,,,,0,,,,,"Johnson, Melissa A",,,,,
BCOM,3200,001,27,8,4,2,5,1,1,,,,,,1,0,,,,,"Ahlberg, Mehrzad",,,,,
MKT,3300,005,3,20,5,10,4,2,2,2,1,,,,,0,,,,,"Corbin, Sonja C",,,,,
ITSS,4V95,001,38,10,1,,,,,,,,,,,0,,,,,"Khan, Taimur A","Zhu, Wangsheng",,,,
MKT,4380,001,6,18,20,4,1,,,,,,,,,0,,,,,"Haworth, Julie B",,,,,
MKT,3300,004,10,5,8,6,5,13,2,,,,,,,0,,,,,"Pahwa, Parneet","Saremi, Ehsan","Qian, Kun",,,
CS,1337,005,2,15,5,2,10,1,1,8,2,,1,,2,0,,,,,"Simmons, Christopher S",,,,,
MUSI,1306,002,18,13,7,1,4,2,2,1,1,,,,,0,,,,,"Jones, Eric",,,,,
BUAN,6337,501,,7,14,12,4,8,4,,,,,,,0,,,,,"Tehrani, Shervin S","Jameei Osgouei, Ata","Kasaian, Keyvan",,,
OB,6301,MBC,,26,22,1,,,,,,,,,,0,,,,,"Hicks, Jeffrey N",,,,,
ACCT,3322,001,4,11,5,7,10,2,3,2,,,,,5,0,,,,,"Goodrich, Mary Beth W",,,,,
THEA,1310,002,38,9,,1,1,,,,,,,,,0,,,,,"Sanders, Christine",,,,,
ACCT,6202,MBC,,22,8,6,5,4,4,,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,
OBHR,3310,501,,23,14,7,3,2,,,,,,,,0,,,,,"Hicks, Jeffrey N",,,,,
MKT,3300,003,10,10,8,9,5,6,1,,,,,,,0,,,,,"Pahwa, Parneet","Saremi, Ehsan","Qian, Kun",,,
CE,4370,001,,4,6,7,14,8,9,1,,,,,,0,,,,,"Carrion Schaefer, Benjamin","Nguyen, Van Thuan",,,,
OBHR,3330,002,11,10,14,9,1,1,1,2,,,,,,0,,,,,"Ritchey, David B",,,,,
ITSS,3200,001,21,17,5,3,,1,,1,,,,,1,0,,,,,"Fry, Jennifer L",,,,,
IMS,3310,006,,14,4,9,13,3,2,3,1,,,,,0,,,,,"Zydorek, Hubert","Campos de Castro Ferreira, Leticia",,,,
ACCT,4340,001,17,12,6,9,2,,1,,1,,1,,,0,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,
MUSI,1306,005,9,23,5,9,2,,,1,,,,,,0,,,,,"Salisbury, Linda J",,,,,
GEOS,1303,501,3,3,4,5,5,7,3,5,5,1,5,1,2,0,,,,,"Griffin, William R","Sink, Katharine O",,,,
THEA,1310,001,6,26,5,4,1,,2,2,,1,,,2,0,,,,,"Ketchum, Mary A",,,,,
IMS,3310,001,,1,8,6,19,14,,1,,,,,,0,,,,,"Tsang, Wing K","Bai, Xiaoou","Balaji, Pavithra",,,
OPRE,6302,MBC,,13,16,9,7,4,,,,,,,,0,,,,,"Rajamani, Divakar","Hosseinabadi Farahani, Mehdi",,,,
ITSS,4330,002,41,5,2,,1,,,,,,,,,0,,,,,"Khan, Taimur A","Zhu, Wangsheng",,,,
FIN,6301,0W1,,13,,2,12,3,,5,,,,,8,7,,,,,"Day, Theodore",,,,,
CS,4384,001,7,3,6,4,12,3,3,3,1,1,1,,,6,,,,,"Huynh, Dung T","Mohammadpour, Somayeh",,,,
ENTP,4340,501,3,8,8,10,8,4,3,,,,,,,6,,,,,"Miller, Toyah L","Welbourne Eleazar, Miranda J",,,,
AHST,3315,001,11,7,3,4,5,1,7,3,,1,,1,4,3,,,,,"Goode, Dianne H",,,,,
CS,1336,005,8,12,3,4,3,2,2,6,1,,2,1,3,3,,,,,"Narayanasami, Priya",,,,,
ENGR,2300,006,5,8,12,8,4,2,2,1,1,,1,,3,3,,,,,"Webb, Jennifer H","Vankayalapati, Bhanu Teja",,,,
IMS,6204,0W1,,8,13,18,7,1,,1,,,,,,2,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,
GEOS,2310,001,1,18,5,4,7,4,2,2,2,1,2,,1,1,,,,,"Brikowski, Tom","Peiris, Inoka M","Nichols, Naomi Ty Asha P",,,
CS,5343,502,,21,6,7,7,3,1,1,,,,,3,1,,,,,"Gupta, Neeraj K",,,,,
MIS,6204,0W1,,13,,,26,,,10,,,,,1,0,,,,,"Sarkar, Sumit","Srivastava, Smriti",,,,
COMD,7301,501,,50,,,,,,,,,,,,0,,,,,"Rich, Judith B",,,,,
ITSS,4370,0W1,12,11,6,9,11,1,,,,,,,,0,,,,,"Majumdar, Sumit K","Mehta, Sameer",,,,
CS,1136,102,22,10,2,2,4,,2,2,1,,2,,3,0,,,,,"Vogel, Don G","Perkins, Stephen J",,,,
CS,4301,002,,28,2,,12,,,5,,,1,,2,0,,,,,"Cole, John","Shahbazi, Nima",,,,
OB,6301,0W2,,39,,,9,,,1,,,,,1,0,,,,,"Hasenhuttl, Maria","Kim, Kyun",,,,
HMGT,4321,501,,29,5,5,7,1,1,1,1,,,,,0,,,,,"Moonesinghe, Mark S",,,,,
CS,1325,003,6,2,2,4,1,3,2,5,6,,3,1,10,6,,,,,"Shields, Charles O",,,,,
ACCT,6301,501,,22,,1,22,,,4,,,,,,2,,,,,"Karnuta, Daniel","Keogh, Reagan D",,,,
CS,6364,501,,20,11,12,2,2,,,,,,,2,2,,,,,"Min, Richard K","Dakle, Parag Pravin",,,,
MIS,6326,001,,20,7,8,12,,,3,,,,,,1,,,,,"Ryu, Young",,,,,
SE,4352,001,8,7,13,7,6,1,,5,,1,1,,1,0,,1,,,"Christiansen, Michael G","Torabi, Behnam",,,,
ITSS,4360,001,4,4,6,20,10,4,,2,1,,,,,0,,,,,"Thirumalai, Nambi","Gungor, Ahmet B",,,,
CS,1336,002,2,7,5,4,9,5,6,4,2,1,1,2,3,0,,,,,"Alagar, Sridhar",,,,,
OB,6301,0W1,,46,,,4,,,1,,,,,,0,,,,,"Hasenhuttl, Maria","Kim, Kyun",,,,
MECO,6303,0W1,,14,7,20,4,4,1,,,,,,1,0,,,,,"Lewin, Peter","Ogunjobi, Olufunke A",,,,
FIN,3390,002,5,9,,8,4,6,5,4,4,,,3,3,0,,,,,"El-Ashmawi, Amal H","Altammam, Ali A",,,,
SE,4351,001,5,23,13,2,6,1,,1,,,,,,0,,,,,"Smith, Klyne","Wang, Haoliang",,,,
CS,1325,001,2,3,5,6,3,6,3,4,8,2,2,1,4,3,,,,,"Shields, Charles O",,,,,
CS,1336,503,,8,3,3,6,2,2,5,3,6,3,1,8,2,,,,,"Shields, Charles O",,,,,
HMGT,3301,002,4,25,6,6,2,2,1,3,,,,,1,2,,,,,"Berrett, Britt R","Janakiraman, Sreenath",,,,
BPS,4305,0W1,,8,,7,21,,5,4,,1,4,,1,1,,,,,"Chasteen, Larry H","Bai, Xiaoou",,,,
EE,3320,002,3,4,5,2,4,4,3,4,9,2,5,1,5,1,,,,,"Khoobroo, Amir","Goswami, Pingakshya",,,,
OPRE,3320,001,,18,,16,11,,1,1,,1,,,3,1,,,,,"Mozik, Vince C",,,,,
ACCT,6373,501,,42,,,10,,,,,,,,,0,,,,,"Karnuta, Daniel","Keogh, Reagan D",,,,
CS,3162,551,4,42,,1,3,,,2,,,,,,0,,,,,"DeGroot, Doug",,,,,
MIS,6319,501,,31,,,20,,,1,,,,,,0,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,
OPRE,6367,001,,52,,,,,,,,,,,,0,,,,,"Parks, David",,,,,
MIS,6380,002,,9,13,8,7,12,3,,,,,,,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,
OBHR,4354,001,4,16,17,8,4,,2,,,,,,1,0,,,,,"Meda, Edward","Tsai, Lin",,,,
FIN,3390,001,6,6,,9,4,6,6,4,3,,3,2,3,0,,,,,"El-Ashmawi, Amal H","Altammam, Ali A",,,,
PSCI,4396,002,7,19,7,10,4,,2,,1,,,,2,0,,,,,"Boots, Denise P","Saucedo De La Fuente, David",,,,
CS,1337,013,13,10,10,3,2,2,1,1,1,,1,,3,6,,,,,"Vogel, Don G",,,,,
EE,3302,002,1,4,1,6,5,2,9,8,5,,6,,3,3,,,,,"Kehtarnavaz, Nasser","Wei, Haoran",,,,
ENGR,3341,002,,11,10,8,11,5,3,1,1,,2,,,1,,,,,"Saquib, Mohammad","Hasan, Md Imrul",,,,
CS,4341,003,,7,,,15,,,20,,,3,,7,1,,,,,"Goodrum, Richard A",,,,,
ACCT,6335,PP2,,37,11,4,1,,,,,,,,,0,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,
ACCT,6353,PP2,,9,26,12,6,,,,,,,,,0,,,,,"Solcher, Steven J","Keogh, Reagan D",,,,
BUAN,6346,001,,13,16,6,10,6,,1,,,,,1,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,
MIS,6344,001,,19,8,14,7,5,,,,,,,,0,,,,,"Mehra, Amit","Agarwala, Neeraj",,,,
BUAN,6337,002,,8,16,8,9,8,4,,,,,,,0,,,,,"Tehrani, Shervin S","Jameei Osgouei, Ata","Kasaian, Keyvan",,,
CS,3345,003,2,10,17,14,6,2,,,,,,,2,0,,,,,"Chida, Anjum",,,,,
HLTH,4305,002,,3,9,12,7,5,9,3,2,1,,,1,2,,,,,"Stark, Azadeh T",,,,,
CS,3345,001,2,8,12,5,7,6,7,2,1,,,,2,0,,,,,"Ozbirn, Greg A",,,,,
OPRE,6301,0W1,,13,8,12,6,9,2,1,,,,,1,2,,,,,"Leach, Sonia E","Zhang, Wen",,,,
MKT,6301,501,,7,5,15,17,1,5,2,,,,,,2,,,,,"Bruce, Norris I","Roshangarzadeh, Reza","Kumar, Sumeet",,,
ACCT,4342,PP2,7,10,11,17,2,4,,1,,1,,,,1,,,,,"Johnson, Jennifer","Farooqi, Shan A",,,,
ITSS,4351,001,,9,9,8,12,7,1,5,,1,,1,,1,,,,,"Shekhar, Gaurav","Agrawal, Pulkit",,,,
ENGR,3341,006,9,12,3,3,4,6,4,1,3,,,,8,1,,,,,"Myers, Kathleen","Winter, Patrick M","Quayum, Ayon",,,
MIS,6344,003,,18,12,8,9,5,,1,,,,,,1,,,,,"Mehra, Amit","Agarwala, Neeraj",,,,
MECO,6303,501,,4,21,6,7,6,5,4,,,,,,0,,,,,"Kiser, Stephen L",,,,,
MIS,6330,501,,35,9,7,2,,,,,,,,,0,,,,,"Howe, Nate","Choudhary, Aarzoo",,,,
OB,6301,001,,46,,,5,,,1,,,,,1,1,,,,,"Hasenhuttl, Maria",,,,,
ATCM,2305,001,21,17,5,2,3,2,1,1,1,,,,1,0,,,,,"Fechter, Todd A","Jennings, Christopher M",,,,
BMEN,3315,501,3,19,5,5,9,1,1,8,2,,,,1,0,,,,,"Cogan, Stuart","Chakraborty, Bitan",,,,
CLDP,3305,001,,40,,,13,,,1,,,,,,0,,,,,"Touchstone, Emily W","Thomas, Abbey L",,,,
OPRE,6332,501,,23,8,8,4,5,3,1,,,,,2,0,,,,,"Ramanathan, Kannan","Li, Changpei","Chou, Cheng-Chih",,,
CLDP,3303,001,3,17,,5,11,1,2,9,,1,1,,2,3,,,,,"Maguire, Mandy","Yuan, Haiying",,,,
OPRE,3333,501,7,9,5,8,2,6,2,4,8,,,,1,3,,,,,"Ahadi, Khatereh","Egbedi, Jeffrey C",,,,
CS,4337,501,7,13,15,4,5,4,2,,,2,,,2,1,,,,,"McMahan, Timothy","Desai, Takshak",,,,
EESC,6395,001,,34,15,3,2,,,,,,,,,1,,,,,"Tamil, Lakshman",,,,,
ENGR,3341,003,,14,2,2,12,5,,11,2,,3,,3,1,,,,,"Gelb, Lev D","Noor Shoudha, Shamman",,,,
CRIM,3302,001,1,15,11,6,7,3,4,3,2,1,1,,,1,,,,,"Leeper Piquero, Nicole","Derlic, Dragana",,,,
OPRE,3360,009,7,5,6,7,9,7,2,6,,1,3,,1,1,,,,,"Toptal, Aysegul","Farajbakhsh Mamaghani, Fariba",,,,
OPRE,3310,004,6,14,1,2,21,,,7,,,,,3,1,,,,,"Kohankie, Robert W",,,,,
ITSS,3311,002,18,14,8,8,4,,1,1,,,,1,,0,,,,,"Tunc, Murat M",,,,,
CS,3360,002,13,6,11,8,6,3,,,4,,2,,2,0,,,,,"Feng, Ranran","Zhang, Chenxu","Vellingiri, Shanthi",,,
UTD,EXCM,001,,,,,,,,,,,,,,0,,,,,,,,,,
ENGR,3300,007,,3,5,1,11,6,,15,6,,3,1,2,3,,,,,"Florence, James M","Gandluru, Veerabharathchandrareddy",,,,
CS,3377,0W1,,12,8,5,8,10,,1,1,,3,,5,3,,,,,"Nguyen, Nhut",,,,,
ENGR,3300,005,11,3,,1,4,4,1,4,9,,1,5,11,2,,,,,"Saad, Ricardo E","Tokgoz, Serkan","Samadian, Azadeh",,,
ENGR,3341,007,2,4,6,5,5,5,3,6,4,3,6,2,3,2,,,,,"Myers, Kathleen","Winter, Patrick M","Quayum, Ayon",,,
ENGR,3341,001,,10,2,3,11,5,,12,4,2,4,,1,2,,,,,"Gelb, Lev D","Noor Shoudha, Shamman",,,,
HLTH,4306,001,2,6,8,,9,5,9,2,7,2,1,1,3,1,,,,,"Savard, Ryan R",,,,,
BMEN,4V95,003,5,5,6,5,8,5,5,1,4,,4,4,3,1,,,,,"Ardestani Khoubrouy, Soudeh","Hedden, Brian",,,,
MECH,2320,002,1,9,10,10,10,10,2,1,,,,,2,1,,,,,"Ryu, III","Nguyen, Cuong P",,,,
CS,1134,102,39,4,1,3,,,1,2,,1,,,4,1,,,,,"Doore, Karen L",,,,,
MKT,3300,012,,11,3,12,9,3,3,7,3,1,1,3,,0,,,,,"Wu, Fang","Qian, Kun",,,,
CS,3354,001,,26,8,7,10,,4,,,,,,1,0,,,,,"Cankaya, Ebru C","Wang, Xiaoyu",,,,
ITSS,4360,501,4,12,11,14,6,6,2,1,,,,,,0,,,,,"Howe, Nate","Choudhary, Aarzoo",,,,
EE,4310,001,,18,,5,15,4,3,4,2,,1,,4,0,,,,,"Skinner, Neal G","Zhang, Yujie","Qiu, Yuning",,,
FIN,6325,001,,23,10,12,11,,,,,,,,,0,,,,,"Xia, Han (Victor)",,,,,
BUAN,6340,003,,27,10,12,7,,,,,,,,,0,,,,,"Ge, Ling","Panthagani, Phanindra",,,,
CS,3354,004,33,17,2,,2,,1,1,,,,,,0,,,,,"Cankaya, Ebru C","Ashtiani, Omeed E",,,,
SE,3306,001,28,10,3,2,4,1,1,1,,,1,,3,3,,,,,"Belavadi, Vibha Chandramouli",,,,,
BIOL,3370,001,10,14,6,8,5,6,2,1,1,,1,,1,2,,,,,"Hill, Brenna R",,,,,
MKT,3300,001,,7,3,4,10,11,5,8,4,1,1,,1,2,,,,,"Wu, Fang","Qian, Kun","Roshangarzadeh, Reza",,,
MATH,3310,002,12,13,6,5,4,4,4,3,2,,1,1,1,1,,,,,"Dabkowska, Malgorzata A","Burnett, Joseph V",,,,
EE,3320,001,2,12,13,9,4,3,6,1,2,2,,,2,1,,,,,"Bhatia, Dinesh","Shahshahani, Masoud",,,,
ITSS,3300,501,4,24,10,4,4,3,1,1,,,,,5,1,,,,,"Fuller, Tony F","Tang, Ping",,,,
COMD,6240,001,,57,,,,,,,,,,,,0,,,,,"Touchstone, Emily W",,,,,
MKT,3340,501,4,22,11,6,6,3,2,3,,,,,,0,,,,,"Hudelot, Loretta F",,,,,
CS,3340,002,5,7,8,7,5,5,6,6,3,3,,1,1,0,,,,,"Mazidi, Karen J",,,,,
MATH,3379,001,3,12,8,7,8,2,3,3,2,3,2,,4,0,,,,,"Hooshyar, Mohammad","Dabkowski, Mieczyslaw K",,,,
MECH,3350,001,,11,7,7,10,9,5,5,3,,,,,0,,,,,"Park, Wooram","Yu, Haoliang","Park, Sungju",,,
MIS,6380,001,,10,12,6,17,7,2,3,,,,,,0,,,,,"Bradbury, Judd D","Kulkarni, Aniket S","Muntha, Sainath",,,
HMGT,3301,003,14,23,5,4,5,3,,2,1,,,,,0,,,,,"Walton, James W",,,,,
MECH,3310,001,8,5,7,15,13,1,3,2,,,1,,2,0,,,,,"Ouyang, Hui","Sarma, Jyotirmoy",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,1,57,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,
OPRE,3310,501,1,6,5,2,6,4,5,12,4,1,6,1,,5,,,,,"Kuo, Ching-Chung","Takasi, Venkanna Dora Goutham",,,,
HLTH,1322,0W1,,8,7,6,10,8,1,5,2,,4,,3,3,1,,,,"Day, Lora N",,,,,
HMGT,3301,001,,11,17,6,6,6,4,2,,1,1,,1,3,,,,,"Fleming, Forney F","Khelani, Tarun M",,,,
ITSS,3300,008,4,18,5,5,3,4,4,1,,2,,1,9,2,,,,,"Hansen, Atanas Y","Zhu, Wangsheng",,,,
CS,1337,012,23,8,9,1,8,4,,1,1,1,,,,2,,,,,"McMahan, Timothy",,,,,
BUAN,6398,001,,18,1,9,23,1,,5,,,,,,1,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,
BUAN,6337,004,,20,1,5,24,,,7,,,,,,1,,,,,"Grigsby, Mike",,,,,
CS,1334,002,3,17,4,7,13,1,2,3,,1,1,,5,1,,,,,"Arnold, Gordon L",,,,,
OBHR,3310,006,22,21,7,6,,1,,,,,,,,1,,,,,"Boncoeur, Olivier D",,,,,
CS,6360,003,,14,19,9,11,3,1,,,,,,,1,,,,,"Davis, Chris I","Karki, Dipendra",,,,
IMS,3310,013,,7,2,3,12,15,3,14,,,,,1,1,,,,,"Qian, Cuili","Liao, Xin",,,,
CS,4347,005,7,24,13,5,3,1,2,1,,,,,1,1,,,,,"Wu, Wei L","Ghosh, Smita",,,,
CS,6363,003,,23,9,25,1,,,,,,,,,0,,,,,"Bereg, Sergey","Dong, Zheng",,,,
BUAN,6398,003,,25,1,9,16,1,2,4,,,,,,0,,,,,"Alimirzaei, Athena","Seripalli, Dilip Kumar",,,,
CE,4348,001,,10,,,34,,,14,,,,,,0,,,,,"Goodrum, Richard A","Yu, Xinyue","Chappidi, Sruthi",,,
ACCT,3341,001,5,8,14,11,7,7,1,4,,,1,,,0,,,,,"Sadka, Gil","Chu, Yu Fang","Fan, Zhongwen",,,
CS,3345,501,8,8,4,5,8,6,16,,2,,,,1,0,,,,,"Khan, Ziaullah",,,,,
MKT,6352,001,,26,7,8,13,4,,,,,,,,0,,,,,"Tirone, Guido",,,,,
CS,2336,501,17,8,11,14,2,3,2,,1,,,,,0,,,,,"Khan, Ziaullah",,,,,
FIN,6360,001,,9,8,14,26,1,,,,,,,,0,,,,,"Zhao, Feng","Lee, Pil-Seng",,,,
SOC,3325,0W1,18,24,,6,7,,1,1,,,,,1,0,,,,,"Malek-Ahmadi, John H",,,,,
MECH,2310,001,,2,3,3,13,5,4,12,1,1,3,,11,0,,,,,"Blanchard, Andrew","Gleason, Glenn H",,,,
BUAN,6312,001,,8,11,11,11,13,3,,,,,,1,0,,,,,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,
FIN,3320,014,1,8,7,3,10,2,1,17,3,,3,,1,3,,,,,"Manzi, Jeff",,,,,
CS,2336,004,23,4,5,3,2,1,1,2,2,2,2,,9,3,,,,,"Nouroz Borazjany, Mehra",,,,,
ACCT,2302,006,6,5,3,10,8,5,,13,,1,4,2,,2,,,,,"Dai, Zhonglan","Li, Chenchen",,,,
MKT,3320,001,1,12,17,7,3,7,2,,1,,1,1,5,2,,,,,"Haworth, Julie B",,,,,
FIN,3320,004,6,4,9,5,9,7,10,2,,2,1,2,,2,,,,,"Rupp, Anin D",,,,,
FIN,3320,009,1,9,2,4,11,4,5,7,5,2,2,2,3,2,,,,,"Ma, Liping","Guo, Shujian",,,,
HMGT,3301,004,6,28,9,7,4,2,,1,,,,,,2,,,,,"Berrett, Britt R","Janakiraman, Sreenath",,,,
CS,3305,003,13,8,4,1,10,5,2,9,2,1,1,,2,1,,,,,"Feng, Ranran",,,,,
FIN,3320,013,,9,1,2,10,6,1,20,1,1,2,2,3,1,,,,,"Manzi, Jeff",,,,,
CRIM,3312,001,3,8,9,7,10,1,7,7,3,1,2,,,1,,,,,"Jacobs, Bruce A",,,,,
OBHR,3330,501,4,7,4,,17,10,6,5,1,,,,4,1,,,,,"Weekley, Jeff A","Wijewardana, Galuge Hansani M",,,,
CS,4348,001,3,6,9,6,7,11,4,4,3,2,1,1,1,1,,,,,"Ozbirn, Greg A","Mi, Feng",,,,
MATH,2419,005,2,2,3,3,5,3,5,4,17,2,3,,9,1,,,,,"Eydelzon, Anatoly",,,,,
FIN,3320,001,8,4,9,4,10,7,4,4,1,4,1,1,1,1,,,,,"Murray, Jennifer R",,,,,
MATH,2419,007,,4,3,3,4,10,3,6,9,1,1,1,13,1,,,,,"Eydelzon, Anatoly",,,,,
CS,1136,101,32,8,3,2,5,1,1,1,,,4,,1,1,,,,,"Vogel, Don G","Perkins, Stephen J",,,,
MECH,4380,001,2,6,7,11,16,6,3,2,3,1,1,,,1,,,,,"Hassanipour, Fatemeh","Azarnoosh, Jamasp",,,,
FIN,4310,001,2,9,8,7,9,9,10,,3,1,,,1,0,,,,,"Anderson, Frank W",,,,,
FIN,3330,002,8,25,,7,11,,3,1,,1,2,,1,0,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,
ITSS,3300,502,,39,6,5,4,1,1,2,,,,,1,0,,,,,"Owens, Sean M","Luo, Ning",,,,
HMGT,3310,501,17,14,16,4,4,1,,1,,2,,,,0,,,,,"Tesmer, Kristin M",,,,,
CS,4390,003,3,2,5,8,7,12,7,6,2,2,3,,2,0,,,,,"Le, Khiem V","Zhou, Shuang",,,,
OBHR,3330,003,9,17,11,13,3,3,,,1,,,,2,0,,,,,"Meda, Edward","Tsai, Lin",,,,
OBHR,3330,005,2,5,9,9,17,7,4,3,1,1,,,1,0,,,,,"Weekley, Jeff A","Wijewardana, Galuge Hansani M",,,,
MKT,3300,006,4,16,8,12,10,,6,3,,,,,,0,,,,,"Pacyna, Sandra",,,,,
CS,4347,006,2,21,7,5,14,4,2,2,1,,1,,,0,,,,,"Kumar, Pushpa S","Lu, Jing",,,,
FIN,3320,016,1,3,2,2,11,5,6,10,6,3,3,,4,4,,,,,"Murray, Jennifer R",,,,,
PSCI,4314,001,2,13,11,10,8,4,3,4,1,,,,1,3,,,,,"Ho, Karl",,,,,
CS,3305,006,,14,8,8,8,7,3,2,,3,,,4,3,,,,,"Ishigaki, Genya","Salazar, Elmer E",,,,
STAT,3355,001,8,18,6,3,8,3,2,3,,,,,6,3,,,,,"Ammann, Larry",,,,,
OPRE,3333,003,15,5,3,5,7,3,4,3,4,,,2,6,3,,,,,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,
CS,4375,002,18,11,5,12,9,,,1,,,,1,1,2,,,,,"Khan, Ziaullah","Li, Xiaodi",,,,
CS,6375,001,,42,10,3,1,,,,,,,,2,2,,,,,"Chida, Anjum",,,,,
OPRE,6301,502,,21,6,7,9,6,4,1,,,,,4,2,,,,,"Sethi, Awanti","Sethi, Shravik P",,,,
CS,3377,0W4,5,21,13,8,10,,,,,,,,1,2,,,,,"Kapoor, Bhanu",,,,,
MECH,2320,001,5,4,10,10,12,9,2,2,1,,1,,2,2,,,,,"Bernal Montoya, Rodrigo A","Waliullah, Mohammad","Yi, Lu",,,
IMS,3310,002,,8,,6,14,4,4,7,1,3,,2,9,1,,1,,,"Henderson, Tom",,,,,
MECH,4310,001,,12,7,4,10,6,3,4,8,,2,,3,1,,,,,"Summers, Tyler H","Narayan, Meenakshi",,,,
MATH,2418,004,6,8,4,5,5,2,4,8,4,4,2,2,5,1,,,,,"Pereira, Luis Felipe F",,,,,
CS,3354,006,6,37,7,5,2,2,,,,,,,,1,,,,,"Smith, Klyne","Tian, Zijing",,,,
ITSS,3311,001,6,23,19,4,3,2,,,,,1,,1,0,1,,,,"Hosseini, Leila",,,,,
ACCT,2302,007,11,6,8,6,1,7,6,3,5,2,2,1,1,0,,1,,,"Swaim, Stephanie R","Walker, Jacob N",,,,
ISNS,2368,001,3,3,4,4,9,10,4,3,9,2,3,,5,1,,,,,"McCauley, Steven","Garcia Quintero, Cristhian J","Dhawan, Ruchika",,,
CS,4375,001,21,8,7,7,4,3,2,1,,,3,,3,1,,,,,"Karami, Gity","Komaragiri, Vasundhara",,,,
FIN,3330,001,10,33,,2,12,,,1,,,1,,,1,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,
FIN,3320,012,1,15,3,1,19,,5,8,1,1,3,,2,1,,,,,"Manzi, Jeff",,,,,
OPRE,6302,003,,20,18,5,6,4,5,1,,,,,,1,,,,,"Honhon, Dorothee B","Khandelwal, Kumar Manglam",,,,
IMS,3310,004,1,8,10,13,9,12,4,,,,1,,1,1,,,,,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,
SOC,1301,0W1,,29,,,18,,,8,,,1,,3,1,,,,,"Cheun, Jacquelyn J",,,,,
MECH,3320,002,6,4,12,9,10,9,5,2,1,,,,1,1,,,,,"Qin, Zhenpeng","Syeda, Afreen",,,,
MATH,2415,001,,9,2,9,8,3,6,7,1,,9,,5,1,,,,,"Makhijani, Neha",,,,,
ITSS,4300,001,,10,4,9,14,10,8,4,,,,,,1,,,,,"Arora, Vivek","Lokkur, Ashwin P",,,,
FIN,3320,015,,19,1,3,16,3,2,9,1,1,3,,1,0,,1,,,"Manzi, Jeff",,,,,
ITSS,4370,501,4,14,18,9,5,6,3,1,,,,,,0,,,,,"Fuller, Tony F","Mehta, Sameer",,,,
OPRE,3310,002,,18,,10,21,,3,8,,,,,,0,,,,,"Hogan, James W","Purohit, Apoorva",,,,
CS,6363,004,,15,9,31,5,,,,,,,,,0,,,,,"Raghavachari, Balaji","Lin, Yu",,,,
IMS,3310,003,5,11,15,8,10,6,2,2,1,,,,,0,,,,,"Kim, Dong Shin",,,,,
MKT,3300,011,9,23,16,7,4,,,,,,,,1,0,,,,,"Zihagh, Fereshteh",,,,,
ITSS,3300,009,2,40,7,3,6,1,,,,,1,,,0,,,,,"Owens, Sean M","Luo, Ning",,,,
ITSS,3300,006,1,12,6,7,15,1,4,10,1,,2,,1,0,,,,,"Short, Kevin P","Tang, Ping",,,,
OBHR,3310,007,,24,22,5,4,1,1,1,1,,1,,,0,,,,,"Hicks, Jeffrey N",,,,,
MATH,2418,005,9,7,8,4,9,6,2,5,3,2,4,,1,0,,,,,"Dahal, Rabin",,,,,
CS,1336,001,15,4,15,4,4,2,,,3,,4,4,5,0,,,,,"Karrah, Shyam S",,,,,
ITSS,3300,005,,14,5,6,14,,6,10,3,,1,,1,0,,,,,"Short, Kevin P","Tang, Ping",,,,
MKT,3300,007,2,8,3,10,,14,15,,5,,,3,,0,,,,,"Lim, Bo Ram",,,,,
CS,6363,001,,17,13,15,10,5,,,,,,,,0,,,,,"Chandrasekaran, Ramaswamy","De, Partha",,,,
COMD,7221,001,,59,,,1,,,,,,,,,0,,,,,"Carter, Jessica A","Fazel, Vedad",,,,
CS,3340,005,18,9,12,7,2,2,,3,2,,2,,3,0,,,,,"Karami, Gity",,,,,
CS,3377,0W3,6,16,11,12,12,2,,1,,,,,,0,,,,,"Kapoor, Bhanu",,,,,
FIN,3330,003,8,29,,4,10,,2,3,,3,1,,,0,,,,,"Chapman, Juliann G","Kim, Kyuri",,,,
