Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W
"Arnold, Maxim",,,,,,MATH,2418,007,1,4,2,6,5,3,13,7,4,,,1,5,,,,,,9
"Hu, Qingwen",,,,,,MATH,2418,501,2,5,2,5,4,2,1,1,,,3,,7,,,,,1,3
"Norwood, John",,,,,,MATH,2419,004,3,5,7,7,7,7,5,4,14,1,4,1,6,,,,,,1
"Rachinskiy, Dmitry",,,,,,MATH,2420,005,4,6,4,11,11,10,5,7,6,,3,,,,,,,,4
"Chiou, Sy Han",,,,,,STAT,5353,001,,5,2,3,2,1,,2,,,,,,,,,,,0
"Ammann, Larry",,,,,,STAT,6329,501,,7,3,,5,2,,2,,,,,,,,,,,1
"Efromovich, Sam",,,,,,STAT,6332,501,,7,3,2,,,,,,,,,,,,,,,0
"Choudhary, Pankaj K","Bilson Darku, Francis",,,,,STAT,6340,001,,26,1,5,7,6,,,,,,,1,,,,,,0
"Gel, Yulia",,,,,,STAT,6347,501,,13,,,,,,,,,,,,,,,,,0
"Gel, Yulia",,,,,,STAT,7331,501,,16,2,,,,,,,,,,,,,,,,0
"Laprade, Jennifer M",,,,,,CRIM,3324,001,25,8,2,2,,1,,,1,,,,1,,,,,,1
"Eichelberger, Rebecca L",,,,,,CRIM,3327,0W1,2,22,14,8,14,3,2,2,,,,,1,,,,,,0
"Taylor, Robert W","Narvey, Chelsey",,,,,CRIM,4396,0W1,2,3,7,2,4,6,,4,1,,,,,,,,,,0
"Connell, Nadine",,,,,,CRIM,6310,001,,,2,1,1,1,,,,,,,,,,,,,1
"Jacobs, Bruce A",,,,,,CRIM,7342,001,,4,2,,,,,,,,,,,,,,,,1
"Wheeler, Andrew",,,,,,CRIM,7381,001,,9,,,,,,,,,,,,,,,,,1
"Yue, Wanwan",,,,,,ECON,2302,502,3,4,2,1,2,2,3,3,4,1,1,1,1,,,,,,4
"Li, Dong","Hou, Aoyu",,,,,ECON,3310,002,6,1,3,1,4,2,1,2,2,1,1,1,3,,,,,,1
"McElroy, Susan","Zhang, Licheng",,,,,ECON,3337,001,3,7,4,3,1,1,,,,,,,,,,,,,0
"Siqueira, Kevin J",,,,,,ECON,4301,001,2,9,2,4,7,1,2,7,,1,2,1,3,,,,,,1
"Andrews, Rodney J",,,,,,ECON,6331,001,,8,3,,5,,,,,,,,,,,,,,0
"Hedlund, Jonas",,,,,,ECON,7391,001,,3,3,1,,,,,,,,,,,,,,,0
"Fischetti, Massimo V",,,,,,MSEN,6323,001,,5,4,1,,,,,,,,,,,,,,,0
"Kim, Moon J",,,,,,MSEN,6362,001,,13,,,1,,,,,,,,,,,,,1,0
"Bunte, Jonas B",,,,,,PPPE,6370,001,,3,1,2,2,,,,,,,,,,,,,,1
"Bunte, Jonas B","Taden, John",,,,,IPEC,4301,001,5,13,13,6,8,2,4,1,1,2,1,1,1,,,,,,0
"Dumas, Lloyd",,,,,,PPPE,6369,501,,,3,2,1,,,,,,,,,,,,,2,0
"D'Orazio, Vito","Gallegos, Yahve",,,,,PSCI,4359,001,,17,6,9,12,4,6,4,3,,2,,4,,,,,,1
"Kim, Alisha A",,,,,,PSCI,4307,001,,9,2,3,1,1,,,1,,1,,1,,,,,1,0
"Gray, Thomas","Kingsolver, Austin W",,,,,PSCI,4310,001,3,4,9,1,6,2,,1,1,,,,,,,,,1,0
"Diehl, Paul","Hoffman, Blake M",,,,,PSCI,4363,001,,3,5,4,3,4,2,2,1,1,,,3,,,,,,0
"Peinhardt, Clint W",,,,,,PSCI,7372,001,,4,1,3,3,,,,,,,,,,,,,1,0
"Scotch, Richard",,,,,,PPPE,6341,001,,6,2,,,,,,,,,,,,,,,1,1
"Skaggs, Sheryl L",,,,,,PPPE,6312,0W1,,6,2,,,,,1,,,,,,,,,,1,0
"Skaggs, Sheryl L",,,,,,SOC,6312,0W1,,6,2,1,,,,,,,,,,,,,,,0
"Stewart, Marianne",,,,,,PSCI,6321,001,,1,2,6,7,,,,,,,,,,,,,,0
"Kamau, Casper","Islam, Iftekhairul",,,,,PSCI,3353,001,23,8,6,,5,1,,1,,,,,2,,,,,,1
"Lowry, Robert C",,,,,,PSCI,6352,001,,2,2,2,,,,,,,,,,,,,,,0
"Lowry, Robert C","Lux, Ryan J",,,,,PSCI,4304,001,,7,8,7,8,4,3,1,,,,2,,,,,,,1
"Clarke, Harold D",,,,,,EPPS,7318,001,,12,,,,,,,,,,,,,,,,3,0
"Ayres, Jeffrey A",,,,,,EPPS,6323,501,,10,2,2,,,,,,,,,,,,,,,2
"Scott, James A",,,,,,EPPS,6354,501,,2,2,4,,,,,,,,,,,,,,,1
"Ho, Karl",,,,,,EPPS,6356,001,,9,,,2,,,,,,,,,,,,,1,0
"Hooshyar, Mohammad",,,,,,MATH,6316,501,,4,,2,1,1,,,,,,,,,,,,,1
"Minkoff, Susan E",,,,,,MATH,6340,001,,5,,,2,2,,1,,,,,,,,,,,0
"Ramakrishna, Viswanath",,,,,,MATH,6322,501,,13,,,2,,,,,,,,,,,,,,0
"Rachinskiy, Dmitry",,,,,,MATH,7319,501,,5,1,2,,,,,,,,,,,,,,,1
"Tran, Anh T",,,,,,MATH,6310,001,,7,,2,1,,,1,,,,,,,,,,,1
"Eydelzon, Anatoly",,,,,,MATH,5390,001,,6,,,,,,,,,,,,,,,,,0
"Cohen, Galia",,,,,,SOC,1301,501,2,4,6,4,4,3,3,2,3,,1,1,3,,,,,,1
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3303,001,1,10,12,7,8,6,2,3,1,,,,5,,,,,,0
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,3320,0W1,1,8,14,12,6,8,4,1,1,2,,,4,,,,,,0
"Skaggs, Sheryl L",,,,,,SOC,4375,001,15,6,4,1,2,2,1,1,1,,2,,3,,,,,,2
"Maxwell, Sarah P",,,,,,PA,4386,0W1,4,7,10,5,3,1,,1,1,,,,3,,,,,,0
"Benavides, Teodoro J",,,,,,PA,6321,001,,20,,,8,,,,,,,,,,,,,,0
"Sandler, Todd E",,,,,,ECON,3369,HN1,3,6,1,,4,,,,1,,,,,,,,,,0
"Harpham, Edward",,,,,,PSCI,3301,HN1,2,8,2,4,,1,,,,,,,1,,,,,,0
"LaDow, Eva S",,,,,,NSC,4363,HN1,4,15,4,2,,,,,,,,,,,,,,,0
"Dowling, Walter J",,,,,,ACN,6334,001,,21,1,,5,,,1,,,,,,,,,,,2
"O'Toole, Alice J",,,,,,HCS,7372,005,,4,1,,1,,,1,,,,,,,,,,,1
"Zhang, Huibing",,,,,,FIN,7330,001,,4,7,,,,,,,,,,,,,,,,0
"Zhao, Feng",,,,,,FIN,6360,001,,4,3,8,17,1,2,1,,,,,,,,,,,0
"Chapman, Juliann G","Andaleeb, Uruba",,,,,FIN,3330,003,5,26,,6,7,,,1,,1,2,,1,,,,,,0
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3359,001,,1,5,4,7,4,2,1,,,,,1,,,,,,0
"Dow, Douglas C",,,,,,PSCI,3322,HN1,1,8,2,,,,,,1,,,,,,2,,,,0
"Reynolds, Clay",,,,,,CRWT,3307,HN1,2,4,2,,,,,,,,,,1,,3,,,,0
"Larue, Patrick","Das, Soham","Sun, Zeyu",,,,GOVT,2305,002,,6,6,6,7,8,4,14,10,4,7,7,9,,,,,,1
"Meyer, Clark A","Jha, Sauraj",,,,,BMEN,1208,105,2,1,1,3,1,1,1,1,,2,,,1,,,,,,0
"Ardestani Khoubrouy, Soudeh","Shamsi, Zeshaan",,,,,BMEN,1208,108,1,2,2,,2,2,,1,,,,,,,,,,,2
"Case, Allison B","Rihani, Rashed T",,,,,BMEN,3130,102,9,3,3,4,3,,2,,,,,,,,,,,,0
"Ali, Tariq M","Sanchez, Camilo A",,,,,BMEN,3150,102,1,2,1,6,3,1,,,,,,,,,,,,,0
"Polk, Todd W","Mishra, Aditya K",,,,,BMEN,3370,001,3,6,3,2,5,3,,1,,,,1,,,,,,,0
"Pacyna, Sandra",,,,,,MKT,4330,001,6,11,7,5,3,3,2,,,1,,,,,,,,,0
"Egeland, Rita E",,,,,,MKT,4370,001,8,21,7,,,,,,3,,,,,,,,,,1
"Rosen, Mark S",,,,,,AHST,3313,001,1,12,6,12,3,5,3,1,,,,,3,,,,,,0
"Brown, Matthew",,,,,,ARHM,2343,001,2,5,1,,,2,,4,4,,1,2,8,,,,,,2
"Lacy, Mary E",,,,,,ARTS,1316,501,,9,,,5,,,1,,,,,1,,,,,,1
"Copeland, Colette",,,,,,ARTS,3340,002,1,4,,1,1,,1,,1,2,,,1,,,,,,0
"Miranda, Jeffrey",,,,,,ARTS,3367,501,10,8,,,,,,,,,,,,,,,,,1
"Totusek, Patricia F",,,,,,COMM,1311,5W3,1,7,6,2,1,1,2,,1,,,,,,,,,,0
"Duncan, Monique N",,,,,,UNIV,2114,PA1,,,,,,,,,,,,,,,20,,,,0
"Waligore, Marilyn A",,,,,,AHST,3324,001,6,6,12,6,3,7,1,2,,,,,,,,,,,0
"Saenz, Michael A",,,,,,COMM,1315,0H1,5,,3,1,,1,,,,,,,,,,,,,1
"Saenz, Michael A",,,,,,COMM,1315,0H2,10,7,,,,,,,,,,,,,,,,,0
"Brookshire, Susan",,,,,,MAS,6102,002,,,,,,,,,,,,,2,,,,77,,2
"Wilkerson, Cassandra",,,,,,MAS,6102,003,,,,,,,,,,,,,,,,,57,,0
"Hyndman, Kyle B",,,,,,FIN,4315,001,2,3,6,5,6,5,,,,,,,3,,,,,,0
"Hyndman, Kyle B",,,,,,FIN,6330,501,,8,8,,4,1,,,,,,,,,,,,,1
"Murthi, B P","Jameei Osgouei, Ata","Elmi, Omid",,,,MKT,6309,0W1,,6,14,8,5,,,,,,,,,,,,,,0
"Tirone, Guido",,,,,,MKT,6352,501,,10,,,1,1,,,,,,,1,,,,,,0
"Lyle, Patricia","Bailey, Scott",,,,,MKT,6V99,501,,6,5,5,2,4,,,,,,,,,,,,,0
"Friedman, Joshua B",,,,,,MKT,6352,502,,8,6,12,10,,,,,,,,,,,,,,0
"Schofield, Joyce",,,,,,MKT,4336,501,,3,4,5,4,1,1,,,,,,,,,,,,0
"Kimzey, Jackie","Bai, Xiaoou",,,,,ENTP,6370,0W1,,5,10,8,17,2,1,6,,,,,,,,,,,0
"Simsek, Ahmet S","Shokoohyar, Sina",,,,,OPRE,6304,001,,4,4,4,3,,,,,,,,,,,,,,0
"Kuo, Ching-Chung","Guda, Harish","Deodhar, Adneya",,,,OPRE,6398,0W1,,,2,,3,,1,1,,,,,,,,,,,0
"Kuo, Ching-Chung","Guda, Harish","Deodhar, Adneya",,,,BUAN,6398,0W1,,10,3,4,16,,1,6,,,,,,,,,,,0
"Yehuda, Nir","Zhou, Xiaolu",,,,,ACCT,3331,501,3,,3,5,5,5,4,3,,,2,,2,,,,,,3
"Guler, Lale",,,,,,ACCT,6301,501,,26,5,7,2,2,1,1,,,,,,,,,,,1
"Zolton, Kathy","Shavrina, Irina V",,,,,ACCT,6333,0W1,,13,,,13,,,7,,,,,1,,,,,,4
"Qian, Cuili",,,,,,BPS,6379,501,,6,4,3,1,,,,,,,,,,,,,,0
"Lin, Zhiang","Nguyen, Huy",,,,,IMS,3310,503,,2,8,7,8,5,1,4,6,4,1,1,,,,,,,2
"Takeuchi, Riki",,,,,,OB,7310,001,,5,3,,,,,1,,,,,,,,,,,0
"Lin, Zhiang","Nguyen, Huy",,,,,OB,7312,001,,5,3,,1,,,,,,,,,,,,,,0
"Qian, Cuili",,,,,,OB,7306,001,,5,3,,1,,,,,,,,,,,,,,0
"Hicks, Jeffrey N","Kim, Kyun",,,,,OBHR,3310,007,1,9,11,6,6,3,3,1,2,,1,,,,,,,,1
"Ritchey, David B",,,,,,OBHR,4333,501,19,10,6,1,3,,,1,,,,,1,,,,,,0
"Takeuchi, Riki","Kim, Dong Shin",,,,,IMS,6341,001,,10,6,2,2,2,,,,,,,,,,,,,0
"Ritchey, Kemberly A",,,,,,OBHR,3310,008,11,17,6,2,6,2,2,2,,,,,,,,,,,0
"Ritchey, David B",,,,,,OBHR,3330,002,5,14,5,3,4,5,2,5,1,,,,,,,,,,1
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,ECON,6306,001,,3,5,9,3,,1,1,,,,,1,,,,,,0
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,GISC,7364,501,,3,4,2,,,,,,,,,,,,,,,0
"Golden, Richard","Ryland, James W",,,,,ACN,6347,5H1,,9,4,,1,,,1,,,,,,,,,,,0
"Whalen, Tristan G","Yang, Hongbo",,,,,CS,3341,004,13,7,11,7,9,6,8,10,3,1,4,2,9,,,,,,1
"Whalen, Tristan G","Yang, Hongbo",,,,,SE,3341,004,1,2,1,1,2,,3,2,3,2,2,2,6,,,,,,1
"Schlobohm, Maribeth L",,,,,,COMM,3342,001,,2,1,2,3,,1,3,1,,,,,,,,,,1
"Ryan, Christopher J",,,,,,COMM,3342,002,,2,3,4,2,,1,,1,,,,1,,,,,,0
"Morris, Michael A",,,,,,FILM,2332,501,5,13,,1,17,1,1,6,,,1,,2,,,,,,2
"Petty, John E",,,,,,FILM,3342,501,,2,4,2,2,5,2,2,1,,1,1,2,,,,,,0
"Frazier, Gary A",,,,,,PHYS,3427,001,14,5,,1,5,3,,,,,,,,,,,,1,3
"Bradbury, Judd D","Senthilkumar, Gowtham","Vashistha, Manish Surendra",,,,MIS,6309,0W2,,7,4,3,5,,5,1,,,,,2,,,,,,0
"Bradbury, Judd D","Senthilkumar, Gowtham","Vashistha, Manish Surendra",,,,ACCT,6309,0W2,,1,1,2,1,1,,,,,,,,,,,,,1
"Cave, Michael",,,,,,BUAN,6340,001,,28,13,4,3,,,,,,,,,,,,,,0
"Parker, Jason A",,,,,,BUAN,6340,501,,56,4,,,,,,,,,,,,,,,,0
"Sohaee, Nassim","Aluri, Vidhyullatha",,,,,BUAN,6341,001,,28,10,10,4,5,,,,,,,,,,,,,1
"Slaughter, Kelly T","Arora, Rajdeep",,,,,ITSS,4390,002,7,25,,6,1,,,,,,,,,,,,,,1
"Majumdar, Sumit K","Sun, Geng",,,,,MIS,6302,001,,17,,2,,,,,,,,,,,,,,,0
"Chakrabarty, Shaibal","Panjrattan, Shivika",,,,,MIS,6330,501,,9,6,,,,,,,,,,,,,,,1,0
"Ahmed, Zulfi S",,,,,,MIS,6333,001,,8,2,,,,,,,,,,,,,,,,0
"Bradbury, Judd D","Senthilkumar, Gowtham","Vashistha, Manish Surendra",,,,MIS,6380,0W1,,2,2,6,6,3,,,,,,,,,,,,,1
"Sarkar, Sumit",,,,,,MIS,7310,001,,,,,,,,,,,,,,,,,,6,0
"Farmer, J Michael",,,,,,HIST,3316,001,,5,2,7,2,4,1,1,,1,1,2,1,,,,,,1
"Park, Peter K",,,,,,HIST,3319,001,,1,1,8,4,5,,,1,,,,2,,,,,,1
"Wickberg, Daniel",,,,,,HIST,3377,001,,2,3,7,3,2,,1,1,,,,1,,,,,,1
"Ozsvath, Zsuzsanna","Roemer, Nils H","Patterson, David",,,,HIST,4332,001,,8,7,4,1,3,,1,1,,,,1,,,,,1,1
"Rankin, Monica A","Landrum, Jeffrey T",,,,,HIST,4359,501,,17,,3,1,,1,2,,1,,,1,,,,,,1
"Dennis, Patrick W",,,,,,HUMA,1301,502,,,9,8,12,12,6,,5,2,2,,10,,,,,,0
"Schulze, Jeffrey",,,,,,HIST,4368,001,,2,2,4,3,1,,1,,,,,1,,,,,,1
"Admiral, Rosemary",,,,,,HIST,4376,002,1,2,2,2,2,,,1,,,,,,,,,,,0
"Schlereth, Eric R",,,,,,HIST,4377,001,1,7,3,2,2,,,1,,,2,,2,,,,,,1
"Burnett, Lora D",,,,,,HIST,4378,001,10,8,2,1,,1,4,,,,,,3,,,,,,2
"Wright, Ben",,,,,,HIST,6332,501,,4,1,,2,1,,,,,,,,,,,,,0
"Stewart, Whitney",,,,,,HIST,6390,501,,5,1,,2,1,,,,,,,,,,,,,0
"Curchack, Fred",,,,,,HUAS,6345,001,,12,,1,1,,,,,,,,,,,,,,0
"Schulte, Rainer",,,,,,HUAS,6350,501,,6,1,1,1,,,,,,,,,,,,,,0
"Al-Dhahir, Naofal M","Elgenedy, Mahmoud A",,,,,EESC,6343,001,,7,2,4,4,2,,2,,,,,,,,,,,0
"Martinez, Manuel L",,,,,,HUAS,7349,501,,5,1,,,,,,,,,,,,,,,,0
"Gohil, Ghanshyamsinh","Baruti, Kudra H",,,,,EEPE,6359,001,,3,14,2,,,,,,,,,,,,,,,0
"Kehtarnavaz, Nasser","Taghizadeh Alamdari, Nasim",,,,,EESC,6367,001,,5,2,5,4,2,,1,,,,,,,,,,,0
"Wickberg, Daniel",,,,,,HUHI,6314,001,,2,3,4,1,,,,,,,,1,,,,,,0
"Rankin, Monica A",,,,,,HUHI,6315,001,,4,3,,1,,,,,,,,,,,,,,0
"Hansen, John","Chandra Shekar, Ram Charan M",,,,,EESC,6366,001,,7,2,3,5,1,,2,,,,,,,,,,,0
"Prud'homme, Michelle",,,,,,HUMA,6330,501,,7,,,,,,,,,,,,,,,,,0
"Prieto, Rene",,,,,,HUSL,6308,501,,5,5,1,4,,,,,,,,,,,,,,0
"Michaelson, Patricia",,,,,,HUSL,6314,001,,7,5,5,,,,,,,,,1,,,,,,0
"Reynolds, Clay",,,,,,HUSL,7308,001,,3,1,,,,,1,,,,,,,,,,2,0
"Brewer, Kenneth L","Cook, Nina E",,,,,LIT,1301,001,4,8,6,3,4,,,,1,,,,1,,,,,,1
"Cotter, Sean J",,,,,,LIT,1301,002,,1,,6,3,,1,3,,1,2,,1,,,,,,0
"Saar Hambazaza, Terje",,,,,,LIT,2331,501,6,4,3,2,3,1,,1,,1,1,,1,,,,,,0
"Cohen, Milton",,,,,,LIT,3312,001,2,2,2,4,2,,,,2,,,,2,,,,,,0
"Gossin, Pamela","Hairston, Marc R",,,,,LIT,3316,001,5,18,20,27,20,15,9,9,,2,3,1,2,,1,,,,1
"Walsh, Dennis P",,,,,,LIT,3323,501,,7,,,3,,,2,,,,,,,,,,,0
"Barnes, Ashley",,,,,,LIT,3324,001,2,6,3,,4,,,,,,,,1,,,,,,0
"Turner, Frederick",,,,,,LIT,3382,001,,10,5,,,,,,,,,,,,,,,,1
"Salisbury, Linda J",,,,,,MUSI,1306,501,5,31,,5,3,1,,,,,,,2,,,,,,1
"Durchholz, Matthew",,,,,,SYSM,6327,001,,7,6,2,,,,,,,,,,,,,,,0
"Wang, Hui",,,,,,FIN,3320,502,2,8,,6,3,7,1,5,,,,,,,,,,,0
"Murthi, B P","Jameei Osgouei, Ata","Elmi, Omid",,,,MKT,6337,005,,,1,4,6,,,,,,,,,,,,,,0
"Murthi, B P","Jameei Osgouei, Ata","Elmi, Omid",,,,BUAN,6337,005,,14,12,8,15,,,,,,,,,,,,,,0
"Haruvy, Ernan E","Zihagh, Fereshteh",,,,,BUAN,6337,006,,10,8,5,2,1,,,,,,,,,,,,,0
"Ganglmair, Bernhard","Kulkarni, Ritesh N",,,,,MECO,6303,002,,10,,,16,1,2,2,,,,,,,,,,,0
"Anderson, William C",,,,,,MECH,3315,002,,1,5,2,8,3,2,3,,2,2,1,,,,,,,0
"Smallwood, Margaret G","Rosillo, Andrea G",,,,,BA,3200,001,10,24,3,1,3,4,2,1,1,,,,,,,,,,0
"Walton, Michaella",,,,,,BCOM,3200,001,4,8,16,6,7,4,3,,,,,,2,,,,,,0
"McCrady, Victoria D","Dakshinamoorthy, Sowmika","Tang, Huimin",,,,BCOM,3200,002,30,4,2,3,5,1,,,1,,2,,,,,,,,0
"Walton, Michaella",,,,,,ACCT,3200,501,,17,15,4,6,3,,2,,,1,,2,,,,,,0
"Walton, Michaella",,,,,,FIN,3200,501,,9,10,7,6,6,4,3,3,,,,,,,,,,1
"Lawson, Kristen A","Porter, Colby W",,,,,ITSS,3200,001,19,21,3,3,2,1,,,,1,,,,,,,,,0
"Sohaee, Nassim","Aluri, Vidhyullatha",,,,,BUAN,6341,002,,17,25,5,12,2,,,,,,,,,,,,,0
"Howe, Nate","Guha, Sumalya",,,,,ITSS,4360,501,1,9,6,12,8,4,2,4,2,,,,,,,,,,0
"Thompson, Luell O",,,,,,MIS,6332,501,,6,,,,,,,,,,,,,,,,,0
"Hicks, Donald",,,,,,IPEC,4305,001,,2,3,,1,3,,2,,1,,1,1,,,,,,1
"Evans, Kathryn C",,,,,,MUSI,3322,001,5,16,1,5,,1,,1,,,,,,,,,,,0
"Elliott, Euel W","Scotch, Richard","Rejepov, Vepa",,,,GOVT,2306,HN2,,18,3,,,,,,,,,,,,,,,,1
"Gooch, John C",,,,,,HUMA,1301,HN2,,3,5,2,2,2,,,,,,,,,,,,,1
"Brunell, Valerie A",,,,,,HONS,3199,H14,6,8,,,,,1,,,,,,,,,,,,0
"Schwab, Robert",,,,,,HONS,3199,H15,6,4,3,1,,1,,,,,,,,,,,,,0
"Fletcher, Eliot",,,,,,HONS,3199,H16,14,,,,,,,,,,,,,,,,,,0
"Medrick, Mary A",,,,,,MUSI,4348,001,1,5,,,,2,,2,,,1,,1,,,,,,0
"Grover, William C",,,,,,ECON,2302,HN1,,11,5,5,1,,,,,,,,1,,,,,,0
"Thamban, P.L.Stephan","Garimella, Martand Mayukh",,,,,MECH,2330,001,5,10,6,3,7,9,3,4,,3,4,3,,,,,,,1
"Park, Wooram","Lin, Jianping",,,,,MECH,3150,103,1,16,14,5,5,1,,,,,,,,,,,,,1
"Park, Wooram","Sunny, Sumair F",,,,,MECH,3350,001,1,7,9,5,10,4,,2,1,,,,,,,,,,1
"Scotch, Richard",,,,,,SOC,6357,001,,4,2,,1,,,,,,,,,,,,,,0
"Karunathilake, Arosha A","Estrada, Tania G",,,,,CHEM,1112,130,4,9,9,2,2,1,,,,1,1,,,,,,,,1
"Shah, Shailesh N","Wang, Hanghang",,,,,CHEM,2123,601,12,6,2,2,,,,1,,,,,,,,,,,1
"Brown, Matthew",,,,,,PHIL,3328,001,5,5,,,2,,,,1,,1,1,,,,,,,1
"Camacho-Guardado, Lorena",,,,,,SPAN,3366,001,11,8,4,1,,1,,1,,,,,,,,,,,0
"Ferguson, Wesley A",,,,,,THEA,1310,001,11,27,7,,2,1,1,,,,,,,,,,,,0
"Ferguson, Wesley A",,,,,,THEA,1310,002,13,27,4,,2,,,,,,,,1,,,,,,1
"Baig, Maryam O",,,,,,THEA,1310,501,,13,,,2,,,,,,,,,,,,,,0
"Hennigan, Edward B",,,,,,THEA,1351,501,2,10,1,1,2,,1,1,,,,,,,,,,,0
"Lingo, Kathy A",,,,,,THEA,2372,001,2,11,5,,2,,,,,,,,4,,,,,,0
"Lingo, Kathy A",,,,,,THEA,2372,002,,19,1,,2,,,,,,,,,,,,,,1
"Hibbs, Shelby A",,,,,,THEA,3310,551,2,9,1,,,,,,,,,,,,,,,,0
"Lingo, Kathy A",,,,,,THEA,3342,501,7,,1,,2,,,,,,,,,,,,,,0
"Lingo, Kathy A",,,,,,THEA,3372,001,,7,2,,2,,,,,,,,,,,,,,0
"Cortes, Sergio J","Saavedra, Daniel P",,,,,CHEM,2125,601,11,9,9,1,,,,,,,,,,,,,,,0
"Nielsen, Steven",,,,,,CHEM,5314,001,,6,,2,2,,,1,,,,,,,,,,,0
"Ahn, Jung-Mo",,,,,,CHEM,5333,001,,9,,,1,,,,,,,,,,,,,,0
"Davis, Renee",,,,,,ED,4351,001,7,8,,3,,1,,,,,,,,,,,,,0
"Palao Mendizabal, Agustin",,,,,,PSCI,4396,001,4,4,1,1,6,,,1,,,,,1,,,,,,0
"Sibert, John W",,,,,,CHEM,1116,HN1,5,23,,,,,,,,,,,,,,,,,0
"Sibert, John W",,,,,,CHEM,1316,HN1,3,15,4,2,5,,,,,,,,,,,,,,0
"Thompson, Christina M","Saavedra, Daniel P",,,,,CHEM,2128,HN1,14,2,,,,,,,,,,,,,,,,,0
"Biewer, Michael C",,,,,,CHEM,2328,HN1,2,6,5,1,1,1,1,,,,,,,,,,,,0
"Henderson, Rashaunda M","Yao, Haohan",,,,,EERF,6311,501,,4,6,18,12,3,,1,,,,,,,,,,,1
"Islam, Naser","Ramanan, Rahul",,,,,MIS,6309,501,,9,17,7,7,3,1,1,,,,,,,,,,,2
"Saeed, Kashif","Aluri, Vidhyullatha",,,,,BUAN,6346,002,,25,9,22,5,3,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,BUAN,6357,002,,33,,2,,,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,MIS,6357,002,,24,,,,,,,,,,,,,,,,,1
"Hosseini, Leila",,,,,,ITSS,3311,001,11,19,15,2,1,,,,,,,,1,,,,,,0
"Kim, Yeongin",,,,,,ITSS,3311,002,,16,11,7,12,,,1,,,,,,,,,,,0
"Hefley, William E","Lyu, Muyuan",,,,,ITSS,4370,001,5,4,6,6,7,4,5,3,6,,1,,2,,,,,,0
"Henslee, Austin",,,,,,BUAN,6V99,501,,26,5,1,,,,,,,,,,,,,,,0
"Liebowitz, Stan",,,,,,MECO,6V99,501,,2,4,1,,,,,,,,,,,,,,,0
"King, Carie S",,,,,,ECS,3390,HN2,3,3,5,,3,,1,1,,1,,,1,,,,,,1
"Bardhan, Indranil R","Bao, Chenzhang",,,,,HMGT,6327,501,,23,14,1,,,,,,,,,,,,,,,0
"Brown, Matthew",,,,,,HIST,3328,001,1,2,,,,,,,1,,3,,2,,,,,,1
"Maxwell, Sarah P",,,,,,SOC,4386,0W1,12,18,12,7,4,2,2,1,1,1,1,,2,,,,,,0
"King, Carie S",,,,,,AMS,4304,0W1,5,10,5,1,2,1,,1,2,,1,,1,,,,,,1
"Moller, Aage R","Nandy, Shaurabh",,,,,NSC,4V90,001,,67,,,3,,,,,,,,,,,,,,0
"Reddy, Aarthi","Sahu, Takesh",,,,,BUAN,6357,003,,17,7,7,1,,,,,,,,,,,,,,0
"Reddy, Aarthi","Sahu, Takesh",,,,,MIS,6357,003,,9,2,1,,,,,,,,,,,,,,,0
"Busso Recabarren, Carlos A","Tao, Fei",,,,,EESC,6368,001,,5,4,1,,,,,,,,,,,,,,,0
"Hajeri, Vinita","Newton, Kristen L",,,,,BIOL,3320,001,4,1,4,5,2,,,,1,,,,,,,,,,0
"Hill, Brenna R",,,,,,BIOL,3357,001,1,5,2,2,2,1,,1,,,,,,,,,,,0
"Lary, David J",,,,,,PHYS,5336,001,,17,,,,,,,,,,,,,,,,,0
"Salter, Elizabeth",,,,,,HLTH,3306,001,10,8,,6,,,3,2,,,,,,,,,,,0
"Werhnyak, Larissa",,,,,,SOC,2300,001,,3,1,1,2,1,1,1,,,,,2,,,,,,1
"Case, Allison B",,,,,,BMEN,7342,001,,22,,,,,,,,,,,,,,,,,0
"Romero-Ortega, Mario I",,,,,,BMEN,7189,001,,13,3,3,1,1,1,,,,,,,,,,,,0
"Duquaine-Watson, Jill M",,,,,,GST,4325,001,6,4,3,3,4,,1,2,,1,,,1,,,,,,2
"Sutton, Walter L","Nguyen, Ploysirin K",,,,,BLAW,2301,005,,20,13,6,4,2,1,,,,,,1,,,,,,2
"Dalgic, Tevfik","Shay, Jason S",,,,,IMS,6314,0W1,,13,14,4,1,,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,BUAN,6357,004,,37,,1,,,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,MIS,6357,004,,21,,1,,,,,,,,,,,,,,,0
"Nanda, Vikram K",,,,,,FIN,7345,501,,12,,,,,,,,,,,,,,,,,0
"Gurun, Ayfer",,,,,,FIN,6366,501,,11,,,1,,,,,,,,,,,,,,0
