Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Umali, Judith B","Johnson, Neil",,,,,MAS,6102,009,,,,,,,,,,,,,,,,,,95,0
"Cook, Sherri T","Johnson, Neil",,,,,MAS,6102,011,,,,,,,,,,,,,,,,,,59,0
"Cook, Sherri T","Johnson, Neil",,,,,MAS,6102,504,,,,,,,,,,,,,,,,,,64,0
"Ganglmair, Bernhard",,,,,,MECO,6360,001,,5,,1,5,,,3,,,,,,,,,,,0
"Bose, Ranavir","Ozdemir, Dicle Yagmur",,,,,MIS,6302,501,,7,,3,,2,,,,,,,,,,,,,0
"Lahiri, Atanu","Guha, Sumalya",,,,,MIS,6330,501,,10,8,6,3,,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,MIS,6357,501,,16,,,,,,,,,,,,,,,,,0
"Johnston, Walter L",,,,,,MIS,6357,001,,26,,,,,,,,,,,,,,,,,0
"Ginevich, Rostislav","Chava, Soumya",,,,,MIS,6373,001,,44,,2,,,,,,,,,,,,,,,0
"Dickinson, Keith",,,,,,MKT,3300,0E1,2,11,,,2,,,,,,,,1,,,,,,1
"Hefley, William E","Bhogal, Parminder S",,,,,MIS,6204,MBC,,18,10,11,3,1,2,,,,,,,,,,,,0
"Rajaratnam, Daniel",,,,,,MKT,6301,MBP,,9,7,12,16,,,,,,,,,,,,,,1
"Meda, Edward","Vora, Gunjan",,,,,OBHR,3310,003,2,1,4,4,6,5,1,1,1,,,,1,,,,,,0
"Weekley, Jeff A","Kemp, Ayenda",,,,,OBHR,3310,011,1,4,7,6,8,9,7,3,1,,2,,,,,,,,1
"Skinner, Neal G","Buck, Prashant C",,,,,EE,3120,106,,5,,,,,,,,,1,,4,,,,,,1
"Ritchey, David B",,,,,,OBHR,3330,001,4,15,9,3,6,5,,5,2,,,,,,,,,,0
"Meda, Edward","Vora, Gunjan",,,,,OBHR,4335,001,,7,12,5,4,,,2,,,,,1,,,,,,0
"Layton, Mark C",,,,,,OPRE,3310,008,,11,12,6,10,,2,2,1,,,,3,,,,,,0
"Hogan, James W",,,,,,OPRE,3310,009,,11,,,25,,2,6,,,2,,2,,,,,,1
"Oguzman, Neslihan",,,,,,OPRE,3333,006,16,11,14,1,4,7,1,1,3,,,,1,,,,,,0
"Stephens, Timothy G",,,,,,OPRE,3333,007,18,23,4,4,4,1,,3,,,,,4,,,,,,0
"Subramoniam, Ramesh",,,,,,OPRE,3333,008,6,5,9,6,5,6,5,5,1,1,2,1,1,,,,,,1
"Parks, David","Chindak, Sachin",,,,,OPRE,3360,008,,2,1,,5,5,,1,2,,,,2,,,,,,1
"Sajjadi, Reza",,,,,,OPRE,3360,502,3,,1,3,5,2,,1,,1,,,,,,,,,0
"Vicario, Joe",,,,,,OPRE,6V99,0W1,,7,1,,,,,,,,,,,,,,,,0
"Nall, Leah T",,,,,,PSY,1100,001,11,19,1,,5,1,,,,,,1,2,,,,,,0
"Jordan, Katy J",,,,,,PSY,1100,002,33,2,,3,2,,,,,,1,,1,,,,,,0
"Nall, Leah T",,,,,,PSY,1100,003,14,19,3,,1,,,,,,,,1,,,,,,1
"Jordan, Katy J",,,,,,PSY,1100,004,28,4,2,1,1,,,,,,,,,,,,,,0
"Jackson, Kevin",,,,,,PSY,1100,005,34,1,,2,,,,,1,,,,,,,,,,0
"Chavez, Marcos G",,,,,,PSY,1100,006,24,3,1,,1,,2,,1,,,,,,,,,,0
"Boeshans, Lindsey E",,,,,,PSY,1100,007,20,1,,1,,2,1,,,,,,1,,,,,,1
"Flores, Kerry M",,,,,,PSY,1100,008,20,5,5,1,1,2,1,1,,,,1,2,1,,,,,0
"Pan, Jing","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,BIOL,3380,301,2,8,1,3,2,2,2,1,,,,,,,,,,,1
"Pan, Jing","Palacios Araya, Dennise",,,,,BIOL,3380,302,2,1,1,1,4,4,4,2,3,,,,1,,,,,,0
"Rippel, Scott A","Palacios Araya, Dennise",,,,,BIOL,3380,303,1,4,5,1,1,5,2,2,1,,,1,,,,,,,0
"Pickett, Elizabeth A","Avadhanam, Nymisha",,,,,BIOL,3380,304,3,4,7,3,3,2,,,,,,,,,,,,,0
"Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,BIOL,3380,305,1,5,4,3,4,1,2,,,,,,1,,,,,,1
"Pan, Jing","Avadhanam, Nymisha",,,,,BIOL,3380,306,2,3,8,4,2,,,1,,1,,,,,,,,,2
"Rippel, Scott A","Ebrahimzadeh Pirshahid, Tahmineh",,,,,BIOL,3380,307,1,2,4,3,4,1,2,1,1,1,,,2,,,,,,1
"Pickett, Elizabeth A","Shashikanth Raj Urs, Karthik Urs Bangalore",,,,,BIOL,3380,308,,2,5,1,4,3,4,1,1,1,,,,,,,,,0
"Hasenhuttl, Maria","Shetty, Karan S",,,,,BA,1100,001,12,11,,1,2,,,2,,2,5,,7,,,,,,0
"Henderson, Tom",,,,,,BA,1100,002,,27,1,,4,1,,1,,,1,1,7,,,,,,0
"Hinze, Whitney P","Kaplan, Marilyn R",,,,,BA,1100,003,15,6,6,4,3,4,,,,,,2,2,,,,,,0
"Henderson, Tom",,,,,,BA,1100,004,,22,1,1,6,,,1,,,1,,10,,,,,,0
"Hinojosa, Nick G",,,,,,BA,1100,005,6,10,5,4,4,2,3,1,2,2,,,5,,,,,,0
"Hasenhuttl, Maria","Shetty, Karan S",,,,,BA,1100,006,20,9,,4,2,,,1,,,1,,3,,,,,,1
"Henderson, Tom",,,,,,BA,1100,007,,20,1,4,2,,,2,,1,2,,10,,,,,,0
"Hinze, Whitney P",,,,,,BA,1100,008,10,2,5,3,3,3,1,,3,1,,2,7,,,,,,1
"Henry, Sarah E",,,,,,BA,1100,009,4,5,8,3,5,3,,1,1,1,,3,6,,,,,,1
"Hinojosa, Nick G",,,,,,BA,1100,010,11,4,6,5,1,4,1,1,3,,,1,7,,,,,,0
"Henry, Sarah E",,,,,,BA,1100,012,4,10,4,3,5,1,2,1,2,,1,1,6,,,,,,1
"Fadda, Dani Z","Rios, Oziel","Levy, Emily T","Parikh, Ankit R","Sirohia, Gaurav Kumar",,MECH,1100,001,11,71,33,30,20,1,6,1,2,3,1,,9,,,,,,4
"Watson, John M",,,,,,BCOM,3100,001,11,12,4,2,2,2,,1,2,,,,5,,,,,,0
"Smallwood, James E",,,,,,BCOM,3100,502,7,3,4,2,,1,,,,,,,,,,,,,0
"Chen, Min","Zhang, Dongfang",,,,,STAT,2332,002,5,23,16,13,11,9,1,7,5,1,,,3,,,,,,0
"Konietschke, Frank",,,,,,STAT,6344,001,,2,6,3,5,1,,,,,,,,,,,,,0
"Gel, Yulia","Huang, Xin",,,,,STAT,6348,001,,31,,,,,,,,,,,,,,,,,0
"Honhon, Dorothee B","Chang, Chia-Hao",,,,,OPRE,6302,004,,33,9,3,8,1,1,,,,,,,,,,,,0
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Honari, Arvin","Chakraborty, Somdutta",,BMEN,3120,110,,5,4,,,2,1,,,,,,,,,,,,0
"Brandt, Patrick","Arowolo, Olufunlola",,,,,EPPS,7390,001,,,9,5,6,3,,,,,,,,,,,,,1
"Gurun, Umit",,,,,,ACCT,7313,001,,6,,,,,,,,,,,,,,,,,0
"Saretto, Alessio","Poochiyur Rangaswamy, Arunpriya",,,,,FIN,6360,501,,2,6,17,9,3,,,,,,,,,,,,,0
"Guttery, Randall",,,,,,FIN,3305,002,,9,1,,8,1,,11,,,2,,1,,,,,,2
"Xie, Ying","Ameri, Mina",,,,,MKT,6343,501,,16,10,7,6,,,,,,,,,,,,,,0
"Woldu, Habte G","Zhou, Jun",,,,,IMS,6365,001,,9,6,4,1,,,,,,,,,,,,,,0
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,6301,001,,11,,15,13,,5,3,,,,,3,,,,,,2
"Meacham, Chad",,,,,,CRIM,2308,001,1,1,,1,5,1,1,,,,,,,,,,,,1
"Fenny, Omobolanle A",,,,,,CRIM,3324,0W1,,39,,,16,,,1,,,,,4,,,,,,0
"Vieraitis, Lynne M",,,,,,CRIM,4315,001,1,2,5,1,2,,,,,,,,,,,,,,0
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,4396,001,31,37,6,2,1,1,,,,1,,,1,,,,,,1
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,002,,19,,12,19,,12,3,,,,,4,,,,,,2
"Brussolo, Monica E","Lu, Jia",,,,,OPRE,6301,003,,30,5,16,12,7,2,4,,,,,,,,,,,0
"Flannery, Carol","Zhang, Wan Hua",,,,,OPRE,6301,004,,31,,5,15,,4,5,,,,,6,,,,,,0
"Brussolo, Monica E","Kennedy, Lacey N",,,,,OPRE,6301,005,,31,2,17,13,3,2,3,,,,,1,,,,,,1
"Brussolo, Monica E","Lu, Jia",,,,,OPRE,6301,006,,29,5,13,7,4,3,2,,,,,1,,,,,,1
"Wiorkowski, John",,,,,,OPRE,6301,008,,35,8,6,3,2,2,2,,,,,,,,,,,0
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,009,,24,2,18,9,1,,1,,,,,2,,,,,,0
"Flannery, Carol","Mobini Dehkordi, Zahra","Zhang, Wan Hua",,,,OPRE,6301,010,,21,,3,29,,4,12,,,,,4,,,,,,4
"Wiorkowski, John",,,,,,OPRE,6301,011,,29,6,7,10,8,,1,,,,,,,,,,,0
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,504,,24,2,14,12,,1,1,,,,,,,,,,,1
"Polk, Elmer O",,,,,,CRIM,6308,0W1,,21,1,,,2,,,,,,,,,,,,,0
"Leach, Sonia E","Kirci, Ismail",,,,,OPRE,6301,501,,27,12,5,10,1,2,,,,,,1,,,,,,2
"Flannery, Carol","Mobini Dehkordi, Zahra",,,,,OPRE,6301,0W1,,26,,5,9,,2,4,,,,,2,,,,,,0
"Wang, Shouqiang","Sul, Inki",,,,,OPRE,6301,MBC,,17,,11,11,,5,7,,,,,2,,,,,,0
"Sethi, Awanti","Gokcinar, Abdullah H",,,,,OPRE,6301,MBP,,22,3,7,8,2,1,1,,,,,,,,,,,1
"Li, Xin",,,,,,ECON,2302,004,1,3,6,6,7,9,,1,2,,,1,,,,,,,1
"Ramezani, Rasoul",,,,,,ECON,2302,501,6,3,3,5,2,4,2,2,1,4,2,,9,,,,,,0
"Andrews, Rodney J",,,,,,ECON,4340,001,4,11,1,2,3,,1,7,,,,,1,,,,,,1
"Leblebicioglu, Asli",,,,,,ECON,4362,001,1,2,2,6,6,3,1,3,,1,,,,,,,,,1
"Goffman, Lisa A",,,,,,COMD,7V82,001,,11,1,,,,,,,,,,1,,,,,,0
"Sandler, Todd E","Arce, Daniel G","Andrews, Rodney J",,,,ECON,6363,001,,2,1,1,2,,,1,,,,,,,,,,,0
"Ewing, Donna M",,,,,,HDCD,6315,002,,9,2,,,,,,,,,,,,,,,,0
"Akbar, Mohammad M",,,,,,MATH,2413,020,4,5,5,3,7,3,3,2,3,2,1,2,7,,,,,,1
"Malik, Arif","Yu, Haoliang",,,,,MECH,3380,001,,13,6,9,12,3,5,7,,,1,2,,,,,,,0
"Bradbury, Judd D","Khandelwal, Ashish","Solanki, Rom Prakash",,,,ITSS,4351,001,6,2,1,1,3,3,,1,1,,,,2,,,,,,0
"Henderson, Tom",,,,,,BA,1100,013,,24,3,,3,,,3,,,4,,3,,,,,,1
"McCrady, Victoria D",,,,,,BA,1100,014,16,2,2,3,2,,,4,3,1,2,,6,,,,,,1
"Deignan, Paul B",,,,,,CS,3341,502,2,5,2,3,6,6,3,3,,,3,,3,,,,,,9
"Tran, Anh T",,,,,,MATH,2414,002,1,5,3,4,2,1,3,5,6,1,,3,9,,,,,,5
"Ahsan, Mohammad K",,,,,,MATH,2417,015,10,1,2,3,2,2,2,2,7,,1,,5,,,,,,1
"Dahal, Rabin",,,,,,MATH,2417,016,15,3,2,6,3,2,2,1,3,,,,5,,,,,,3
"Arnold, Maxim",,,,,,MATH,2418,007,6,6,5,6,9,6,7,3,6,2,1,,3,,,,,,5
"Dahal, Rabin",,,,,,MATH,2418,008,5,9,6,5,9,4,4,2,1,3,,1,7,,,,,,4
"Kim, Moon J",,,,,,MSEN,6340,001,,2,3,5,,,,,,,,,,,,,,,0
"Rachinskiy, Dmitry",,,,,,MATH,2420,004,8,11,17,12,5,6,4,4,6,5,3,,2,,,,,,3
"Walker, Amy V",,,,,,MSEN,5361,001,,1,2,10,2,,,,,,,,1,,,,,,1
"Deignan, Paul B",,,,,,SE,3341,502,,,2,,1,,1,5,,,,,,,,,,,3
"Wright, Ben",,,,,,HIST,2330,HN1,1,17,2,,2,,,,,,,,,,,,,,1
"Riccio, Thomas P",,,,,,ARTS,1301,HN1,,11,9,2,3,,,,,,,,,,,,,,0
"Lingo, Kathy A",,,,,,THEA,1310,HN1,7,15,,1,,,,,,,,,1,,,,,,0
"Kim, Dohyeong",,,,,,GISC,4384,001,4,7,3,3,,2,,,,,,,1,,,,,,0
"Gearey, Wayne",,,,,,GISC,6382,001,,7,1,,,,,,,,,,,,,,,,0
"Assmann, Peter","Montazeri, Vahid",,,,,ACN,6389,601,,3,7,,1,2,,,,,,,,,,,,,0
"Chida, Anjum","Qin, Xi",,,,,CS,6375,003,,24,4,,,,,,,,,,,,,,,,1
"Diehl, Paul",,,,,,PSCI,4396,001,,3,3,5,6,5,1,1,,,,,,,,,,,1
"Holmes, Jennifer","Saucedo De La Fuente, David",,,,,PSCI,4348,001,3,17,6,9,4,4,3,4,,,,,4,,,,,,4
"Lowry, Robert C",,,,,,PSCI,6324,001,,2,1,1,3,,,,,,,,,,,,,,0
"Peinhardt, Clint W",,,,,,PSCI,6316,001,,7,4,3,1,3,,,,,,,,,,,,,0
"Stewart, Marianne","Dzanie, Raphael K",,,,,IPEC,4376,001,,,,2,8,,,1,,1,,,1,,,,,,0
"Brunell, Thomas","Gathman, Adrienne E",,,,,PSCI,4344,001,2,10,12,5,4,2,4,8,3,2,4,,4,,,,,,0
"Bunte, Jonas B","Taden, John",,,,,IPEC,4302,001,12,9,9,4,4,,,,1,1,,2,,,,,,,4
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3100,003,14,17,5,,3,,,,,,,,1,,,,,,1
"de los Santos, Veronica",,,,,,BCOM,3100,004,4,8,3,3,1,1,,,1,,,,3,,,,,,1
"McCrady, Victoria D",,,,,,BA,3200,001,17,10,4,,2,4,1,,,,1,,2,,,,,,0
"Moore, Sarah E","O'Dell, Daniel A",,,,,BA,3200,002,2,16,11,2,5,2,,1,,,1,,,,,,,,0
"Lookadoo, Kathryn","McDonald, Jared M",,,,,BA,3200,003,6,15,8,2,3,,,2,1,,1,,2,,,,,,0
"Moore, Sarah E","O'Dell, Daniel A",,,,,BA,3200,004,,14,13,7,4,3,,,,,,,,,,,,,0
"Moore, Sarah E","O'Dell, Daniel A",,,,,FIN,3200,001,2,19,9,4,2,,1,,,,,,,,,,,,0
"Lookadoo, Kathryn","McDonald, Jared M",,,,,FIN,3200,002,5,12,7,5,2,3,,1,,,1,,3,,,,,,0
"Newcomb, Rebecca G",,,,,,BCOM,3200,001,15,7,1,4,2,4,2,1,3,,,,1,,,,,,0
"Lawson, Kristen A","Bursa, Jennifer N",,,,,BCOM,3200,501,19,8,5,1,2,,3,,,1,,1,,,,,,,0
"Smallwood, James E",,,,,,BCOM,3200,502,17,8,8,,,1,,,,,,1,5,,,,,,0
"Watson, John M",,,,,,BCOM,3200,5E1,6,6,2,,3,,,2,,,,,1,,,,,,0
"Walton, Michaella",,,,,,MKT,3200,001,,4,8,6,5,2,,3,2,,,1,,,,,,,0
"Watson, John M",,,,,,MKT,3200,002,4,7,2,,2,2,1,,1,,,,1,,,,,,1
"Manzi, Jeff","Chen, Chen",,,,,FIN,4390,001,1,6,2,1,7,1,,,,,,,,,,,,,0
"Bortz, Tiffany A","Cheney, Michael P",,,,,ACCT,3332,002,1,13,3,5,12,4,4,9,3,1,4,2,3,,,,,,2
"Bowen, Richard M","Cheney, Michael P",,,,,ACCT,4336,001,3,4,9,5,10,9,8,2,1,1,,,1,,,,,,0
"Guler, Lale",,,,,,ACCT,6334,002,,12,1,2,1,,,1,,,,,,,,,,,0
"Bowen, Richard M","Cheney, Michael P",,,,,ACCT,6344,001,,24,14,4,1,3,,,,,,,,,,,,,0
"Sohaee, Nassim","Sainathan, Srinivas","Ranabothu, Kavya",,,,ITSS,3311,001,,11,5,5,8,2,5,1,1,,1,,4,,,,,,2
"Narayanasami, Priya","Ranabothu, Kavya",,,,,ITSS,3311,002,9,5,5,9,4,7,2,1,2,1,1,,1,,,,,,0
"Saifee, Danish H",,,,,,ITSS,3311,003,4,9,9,8,5,2,1,2,1,,,1,2,,,,,,1
"Amirpour, Semiramis",,,,,,MKT,3330,005,2,4,7,2,4,3,1,2,2,1,,1,1,,,,,,0
"Haruvy, Ernan E","Kaur, Harpreet",,,,,MKT,6337,001,,1,1,1,5,1,1,,,,,,,,,,,,0
"Green, Kevin",,,,,,FIN,3330,003,4,24,,5,16,,6,2,,1,,,1,,,,,,0
"Kaplan, Larry S",,,,,,FIN,3370,002,2,7,12,6,2,3,1,,1,1,,,,,,,,,1
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,002,,20,11,11,10,1,2,,,,,,,,,,,,1
"Zentner, Alejandro","Nguyen, Hang M",,,,,MECO,6303,005,,11,9,25,9,3,1,,,,,,,,,,,,0
"Jackson, Kevin",,,,,,PSY,1100,009,31,1,5,,,2,,1,,,,,,,,,,,0
"Raghavachari, Balaji",,,,,,CS,6301,502,,22,34,15,47,5,1,,,,,,1,,,,,,0
"Chandrasekaran, Ramaswamy","De, Partha",,,,,CS,6363,006,,17,10,15,16,4,1,,,,,,1,,,,,,0
"Chandrasekaran, Ramaswamy","Shah, Swair Rajesh",,,,,CS,6301,004,,14,4,1,1,2,,,,,,,,,,,,,0
"Ohsawa, Tomoki",,,,,,MATH,6331,501,,5,1,1,1,,1,,,,,,1,,,,,,0
"Pereira, Luis Felipe F",,,,,,MATH,6342,001,,5,,,2,,,3,,,,,,,,,,,0
"Eydelzon, Anatoly",,,,,,MATH,5390,001,,9,,,,,,,,,,,,,,,,,1
"Moller, Aage R",,,,,,NSC,4V90,002,,9,,2,1,,,,,,,,,,,,,,0
"Ploski, Jonathan E",,,,,,NSC,4362,001,3,15,3,2,3,2,3,2,2,,1,,3,,,,,,2
"Lu, Hongbing","Rostami, Saman",,,,,MECH,2120,102,3,9,7,3,,,,,,,,,,,,,,,0
"Miller, Van S",,,,,,NSC,4V90,001,10,2,,3,2,1,1,1,,,1,,,,,,,,0
"McWilliams, Steven P","Wangzhou, Andi",,,,,NSC,3361,004,1,8,12,10,5,7,3,7,10,6,5,3,13,,,,,,4
"Minary-Jolandan, Majid","Morsali, Seyedreza",,,,,MECH,2320,002,9,7,7,7,7,7,4,7,,,3,,1,,,,,,0
"Choi, Wonjae","Santhanagopalan, Vignesh",,,,,MECH,3115,104,3,10,3,1,,1,,,,,,,,,,,,,0
"Choi, Wonjae","Balachandran, Balasubramaniam","LeClear, Johnathon D",,,,MECH,3115,105,9,9,,,,,,,,,,,,,,,,,0
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,105,1,11,5,,1,,,,,,,,,,,,,,0
"Park, Wooram",,,,,,MECH,6309,001,,6,5,3,3,,1,,,,,,,,,,,,0
"Lu, Hongbing",,,,,,MECH,6306,001,,9,5,1,3,,,,,,,,,,,,,,0
"Bernal Montoya, Rodrigo A","Karim, Mohammad R",,,,,MECH,6354,001,,5,5,12,9,,,,,,,,,,,,,,0
"You, Seung M",,,,,,MECH,7100,001,,,,,,,,,,,,,,,,,,21,0
"Zhang, Jie","Sun, Mucun",,,,,MECH,6318,501,,15,11,,9,2,,2,,,,,1,,,,,,1
"Li, Ningzhong","Song, Dongye",,,,,ACCT,6305,003,,13,13,13,6,6,,,,,,,1,,,,,,1
"Zhang, Yuan","Chu, Yu Fang",,,,,ACCT,6330,002,,23,,1,12,3,3,2,,,,,,,,,,,0
"Solcher, Steven J","Nguyen, Ploysirin K",,,,,ACCT,6353,001,,25,17,11,3,1,,,,,,,1,,,,,,0
"Roy Bardhan, Anindita","Albritton, Jason M",,,,,HMGT,3311,002,,2,5,2,1,,4,1,,,5,,,,,,,,1
"Guttery, Randall",,,,,,REAL,3305,002,2,3,,,5,,,5,,,4,,4,,,,,,0
"Schweitzer, Haim","Shah, Swair Rajesh","He, Baokun",,,,CS,6301,006,,33,20,8,14,2,,,,,,,,,,,,,0
"Filbey, Francesca M",,,,,,ACN,6395,002,,18,,,1,,,,,,,,,,,,,,2
"Filbey, Francesca M",,,,,,PSYC,6395,002,,2,,,3,,,1,,,,,,,,,,,0
"Haruvy, Ernan E","Kaur, Harpreet",,,,,BUAN,6337,001,,11,8,4,11,6,1,3,,,,,1,,,,,,0
"Biswas, Abhijit","Narula, Rishab","Kasaraneni, Uma Sankar",,,,MKT,6301,0W2,,11,11,11,2,5,5,,,,,,,,,,,,0
"Thompson, Luell O",,,,,,OPRE,6390,0W1,,5,,,2,,,1,,,,,,,,,,,0
"Minden, Alixandre R",,,,,,OPRE,6335,001,,3,7,4,2,,,,,,,,,,,,,,0
"Stewart, Marianne","Dzanie, Raphael K",,,,,PSCI,4376,001,1,,,7,5,,3,1,2,1,,1,1,,,,,,1
"Gupta, Neeraj K","Malik, Hemant",,,,,CS,6353,501,,7,3,1,,,,,,,,,,,,,,,0
"D'Orazio, Vito","Islam, Iftekhairul",,,,,PSCI,4302,001,1,4,8,6,8,5,3,4,1,,2,,1,,,,,,1
"Friedman, Joseph S","Nahar, Lubaba M",,,,,CE,3101,106,,2,,,6,,,,1,,,,1,,,,,,0
"Rosen, Mark S","Brunetti, Francesca",,,,,AHST,3315,001,2,19,12,11,5,2,2,2,,,,,5,,,,,,1
"Terranova, Charissa",,,,,,AHST,3319,001,2,15,5,5,8,4,,2,2,,1,,4,,,,,,0
"Gossin, Pamela",,,,,,ARHM,3342,003,5,6,6,3,8,1,1,,1,2,,,6,,,,,,1
"Barnes, Ashley",,,,,,ARHM,3342,501,2,11,5,6,2,,1,1,,,1,,6,,,,,,1
"Brown-Pearn, Spencer S",,,,,,ARTS,3340,002,6,11,,,,,,,,,,,,,,,,,0
"Polite, Giraud",,,,,,ARTS,3372,501,18,,,,,,,,,,,,1,,,,,,0
"Durant, Stephanie D",,,,,,ARTS,4308,001,1,6,7,4,,,,,,,1,,,,,,,,0
"Pomara, John",,,,,,ARTS,4368,001,3,9,,,,,,,,,,,,,,,,,0
"Chen, Bei",,,,,,CHIN,1301,001,7,3,1,,2,,,,,,,,,,,,,,0
"Dorough, Ramona J",,,,,,COMM,1311,510,5,3,2,1,4,1,1,4,,1,,,1,,,,,,0
"Totusek, Patricia F",,,,,,COMM,1311,5W4,5,6,5,3,,,,1,,,,1,1,,,,,,1
"Schlobohm, Maribeth L",,,,,,COMM,3342,001,4,12,2,1,8,1,,,1,,,,,,,,,,0
"Baker, Barbara L",,,,,,COMM,3351,001,,2,1,1,1,4,2,3,1,,,,1,,,,,,2
"King, Carie S",,,,,,COMM,4314,001,5,6,1,2,,2,,,2,,,1,4,,,,,,1
"Schulze, Jeffrey","Ye, Huiping",,,,,HIST,1301,012,,7,7,4,22,12,8,13,3,2,2,1,4,,,,,,4
"Volanto, Keith J","Armentrout, Kenneth C",,,,,HIST,1301,501,,21,,1,19,6,1,14,,2,10,1,12,,,,,,1
"Burnett, Lora D","Varghese, Shawn",,,,,HIST,1301,502,11,24,6,12,13,7,4,3,,1,1,,2,,,,,,2
"Gray, Megan L",,,,,,ARHM,1100,301,,4,,,4,,,3,,,1,,4,,,,,,0
"Ferguson, Wesley A",,,,,,THEA,1310,001,3,26,11,5,1,,1,,1,,,,,,,,,,0
"Ferguson, Wesley A",,,,,,THEA,1310,002,1,39,2,2,3,1,,,,,,,,,,,,,1
"Baig, Maryam O",,,,,,THEA,1310,501,,42,,,1,,,1,,,,,1,,,,,,2
"Hennigan, Edward B",,,,,,THEA,1351,501,2,6,9,2,,,,,1,,,,1,,,,,,0
"Lingo, Kathy A",,,,,,THEA,2372,001,,21,1,,,,,,,,,,2,,,,,,0
"Lingo, Kathy A",,,,,,THEA,2372,002,,5,2,3,,,,,,,,,,,,,,,0
"Hibbs, Shelby A",,,,,,THEA,3310,501,2,11,2,,,,,,,,,,,,,,,,0
"Hibbs, Shelby A",,,,,,THEA,3323,501,1,4,4,6,5,1,,3,,,,,,,,,,,1
"Hibbs, Shelby A",,,,,,THEA,3325,001,,6,1,,3,,,,,,,,,,,,,,0
"Lingo, Kathy A",,,,,,THEA,3372,501,,15,1,,,,,,,,,,1,,,,,,0
"Curchack, Fred",,,,,,THEA,4301,501,4,5,,1,,2,,,,,,,,,,,,,0
"Warren, Shilyh J",,,,,,FILM,3325,001,3,4,4,2,,,1,1,1,,,1,1,,,,,,0
"Wilson, Michael",,,,,,HIST,3320,001,,12,8,8,6,4,2,,,,,,3,,,,,,3
"Foust, Kristan N",,,,,,HIST,3387,501,4,1,1,4,2,4,1,3,2,2,,3,10,,,,,,2
"Rankin, Monica A","Kirk, Stacie L",,,,,HIST,3398,001,1,24,4,1,8,,,1,,,1,,2,,,,,,2
"Pfister, Debra H",,,,,,HIST,4330,001,6,10,11,5,6,5,1,,,,,,4,,,,,,0
"Hill, Kimberly D",,,,,,HIST,4357,501,6,3,8,2,1,2,,,,,,,1,,,,,,0
"Heinz, Annelise M",,,,,,HIST,4378,001,,7,7,4,5,3,1,1,1,,,,6,,,,,,1
"Pomara, John",,,,,,HUAS,6339,001,,13,,,,,,,,,,,,,,,,,0
"Riccio, Thomas P",,,,,,HUAS,6392,001,,4,2,1,1,,,,,,,,,,,,,,0
"Terranova, Charissa",,,,,,HUAS,7380,501,,4,2,,,,,,,,,,,,,,,,0
"Roemer, Nils H",,,,,,HUHI,6313,001,,9,,,,,,,,,,,,,,,,,0
"Channell, David",,,,,,HUHI,6313,002,,6,,1,1,,,,,,,,,,,,,,0
"Hill, Kimberly D",,,,,,HUHI,6314,001,,5,1,,1,,,,,,,,,,,,,,1
"Roemer, Nils H",,,,,,HUHI,6320,001,,9,1,,,,,,,,,,,,,,,,0
"Patterson, David",,,,,,HUHI,7314,501,,4,,1,2,,,1,,,,,,,,,,,0
"Brown, Matthew",,,,,,HUHI,7387,001,,2,2,1,1,,,,,,,,,,,,,,0
"Scotch, Richard",,,,,,PPPE,6350,001,,6,,1,,,,,,,,,,,,,,,0
"King, Carie S",,,,,,COMM,4375,PAC,8,11,1,,,,,,,,,,,,,,,,0
"Akins, Emily",,,,,,ARHM,1100,302,,4,,,5,,,2,,,,,1,,,,,,0
"Vidyasagar, Mathukumalli","Yurkovich, Stephen","Pyne, Moinak",,,,SYSM,6305,001,,6,3,1,3,1,,,,,,,,,,,,,0
"Gu, Ming D",,,,,,HUSL,6316,001,,7,2,2,,,,,,,,,1,,,,,,0
"Murphy, Jessica C",,,,,,HUSL,6348,001,,7,5,2,2,,,,,,,,,,,,,,0
"Cotter, Sean J",,,,,,HUSL,6381,001,,6,2,1,1,,,,,,,,,,,,,,0
"Hatfield, Charles D",,,,,,HUSL,6398,501,,12,2,,,,,,,,,,,,,,,,0
"Schulte, Rainer",,,,,,HUSL,7322,501,,6,,,,,,,,,,,,,,,,,0
"Cohen, Milton",,,,,,HUSL,7360,001,,2,1,3,,1,1,,,,,,,,,,,,0
